probability,efficiency,purity,rel_uncertainty,efficiency*purity,efficiency*purity**2
0.0,1.0,0.5012491998926307,0.011098117112247107,0.5012491998926307,0.2512507603930025
0.01,0.9984758609326083,0.7371958637469587,0.008406577161957396,0.7360722747307024,0.5426294363502888
0.02,0.9975284231339595,0.758147835070912,0.008224448695986633,0.7562740144207121,0.5733675067534505
0.03,0.9968281430219147,0.7734027933139442,0.008095606822876258,0.7709496702671007,0.59625462848904
0.04,0.9960866699621025,0.7838249594813614,0.008010347747694881,0.7807575937229693,0.6119772892646717
0.05,0.9950568462679189,0.7922857423988979,0.007943806666206303,0.7883693521744842,0.6246137974720994
0.06,0.9941917943648048,0.7990928053504619,0.00789100759741695,0.7944515100153814,0.6348404858531017
0.07,0.9933679354094579,0.8057133311059138,0.007840078017931225,0.8003697882525586,0.6448686082095039
0.08,0.9923793046630417,0.8108717603500505,0.007802088005867989,0.8046923537070797,0.6525023053906852
0.09,0.9916378316032295,0.8161168932433807,0.007762705673646544,0.8092923863506303,0.6604771880739981
0.1,0.9901136925358379,0.8198376424039839,0.007738839756090146,0.8117324754004844,0.665488838895083
0.11,0.989413412423793,0.8234991600095999,0.007712356198909175,0.8147811140332254,0.6709715629980472
0.12,0.9883012028340749,0.8271677297017755,0.007687549684916428,0.8174908622097957,0.6762020605460237
0.13,0.9871066073488218,0.8310674897690227,0.007661361906669903,0.8203522103038017,0.6817680521436499
0.14,0.9859532048113363,0.8342628093412339,0.007640682761941904,0.8225440905248984,0.6862179437683319
0.15,0.9850057670126874,0.8377242152466368,0.007617213161610889,0.8251631831841151,0.6912591800833295
0.16,0.9836463997363651,0.8411652811046921,0.007595598706643707,0.8274092003418579,0.6959878925941675
0.17,0.9823282254078102,0.8443807095814744,0.007575675507185019,0.8294590040117572,0.7003791823761906
0.18,0.9809276651837205,0.8475885388859228,0.007556212983193173,0.8314230464858494,0.7047046451670238
0.19,0.9796094908551656,0.8502931922196796,0.0075403958207399865,0.8329552811079337,0.7082562049495055
0.2,0.9786620530565168,0.8532538428386726,0.007521242324076714,0.8350471576108578,0.7125071961829751
0.21,0.9776734223101005,0.8562666859080742,0.007501919382262793,0.8371491812218748,0.7168229550155125
0.22,0.9765612127203823,0.8585448882772607,0.007488754876623271,0.8384216372709269,0.719822610900006
0.23,0.9748723018619212,0.8607070119290079,0.007478725818509344,0.839079425947928,0.7222015454787483
0.24,0.9733069698467622,0.8628396143733567,0.007468482056806878,0.8398078105294806,0.7246194473849901
0.25,0.9718240237271379,0.8654756227301075,0.007454132637265821,0.8410900021193235,0.7279428933562889
0.26,0.9703822705552809,0.8679488596588187,0.007440908495546166,0.8422421851615914,0.731023144167555
0.27,0.9691464821222606,0.8701135397019121,0.007429270351252374,0.843267476049056,0.7337384485005415
0.28,0.9677047289504037,0.8724652751986927,0.00741704461591163,0.8442887726547903,0.736612636381428
0.29,0.9657686604053386,0.8746176229202417,0.007408253324268408,0.8446782900545834,0.7387705181798742
0.3,0.9638737848080409,0.8768268005695871,0.00739891110413422,0.8451503668861331,0.7410504921969807
0.31,0.9616493656286044,0.878490253631369,0.007394964834625725,0.8447995951155177,0.742148210580709
0.32,0.959919261822376,0.8807544032050797,0.007384640676142988,0.8454531165714274,0.7446365551237423
0.33,0.9581891580161477,0.8834073905282747,0.007371445682870214,0.8464713837155297,0.747779076244994
0.34,0.9555528093590377,0.8855168728050083,0.007365842313083894,0.8461581355436554,0.749287306085134
0.35,0.9531636183885319,0.8873336656824021,0.0073615065250087,0.8457741674997983,0.750483892387078
0.36,0.950774427418026,0.8893726880394575,0.0073555469156745415,0.8455928082319458,0.7520471488440791
0.37,0.9485912011863569,0.890866184378506,0.007352882495668416,0.8450678239359134,0.7528423478508343
0.38,0.9471494480145,0.8926893659975929,0.0073449143365568155,0.845510240253034,0.7547780003159533
0.39,0.9442659416707859,0.894311797752809,0.0073440585507646644,0.8444681718523497,0.7552178489143029
