probability,efficiency,purity,rel_uncertainty,efficiency*purity,efficiency*purity**2
0.0,1.0,0.9900493474917806,0.006418824793985513,0.9900493474917806,0.9801977104689006
0.01,0.9999588070522326,0.993134253973095,0.00641875361529536,0.9930933438456451,0.986275017165791
0.02,0.9999176141044653,0.9937754788936133,0.0064188437093880705,0.9936936058108242,0.9875083389881733
0.03,0.999876421156698,0.9941370156118714,0.006418952205564407,0.9940141613093983,0.9881862718000626
0.04,0.9998352282089307,0.9944198257581902,0.006419065887110009,0.9942559734224252,0.9887078518497678
0.05,0.9997940352611633,0.9946439393186763,0.006419183432911684,0.994439077739479,0.9891128016952269
0.06,0.9995468775745593,0.9948180928196234,0.006419965606457322,0.9943673184325327,0.9892145992852153
0.07,0.9994644916790245,0.994993627085281,0.006420218700797069,0.9944607997186593,0.9894821581061981
0.08,0.9993821057834898,0.9951395650426546,0.006420473768906912,0.9945246740607943,0.9896908515690466
0.09,0.9991761410446531,0.9952825144670385,0.006421126115369113,0.9944625420543947,0.9897711793991809
0.1,0.9989701763058164,0.9954276275282695,0.006421778525582226,0.994402512571596,0.989855733897294
0.11,0.998558246828143,0.9955467407618206,0.006423095161092708,0.9941114080905953,0.9896843722787363
0.12,0.998434667984841,0.9956622694621114,0.0064234850887588115,0.9941037274354366,0.989791573339111
0.13,0.9981463173504695,0.9957709593421824,0.0064244057362474564,0.9939251159919436,0.9897217662655875
0.14,0.9978991596638656,0.9958799051738707,0.006425194149538391,0.9937877204991357,0.9896932208536363
0.15,0.9975696160817268,0.9959890126781265,0.006426248192249951,0.9935683769989367,0.9895831868353795
0.16,0.997240072499588,0.9960882805100197,0.0064273034039093865,0.9933391490718021,0.9894534849622175
0.17,0.996869335969682,0.9961874768448159,0.00642849196175454,0.9930687485436046,0.9892826509450924
0.18,0.9964985994397759,0.9962813788559011,0.006429681531706946,0.9927929986778342,0.9891011776412374
0.19,0.9960042840665678,0.9963678699259547,0.006431271194479167,0.9923866669525317,0.9887821894944119
0.2,0.9955923545888944,0.9964622238806343,0.006432595361794764,0.9920701717322068,0.9885604495699176
0.21,0.9948920744768496,0.9965473723519713,0.006434853263534437,0.9914570825937062,0.9880339504585094
0.22,0.9944801449991761,0.9966406934782917,0.006436179726682814,0.9911393813623709,0.9878098403746383
0.23,0.9937798648871313,0.9967273414719953,0.006438441324567168,0.9905275627373491,0.987285904261933
0.24,0.9929560059317845,0.9968074859296302,0.006441106521163353,0.989785979911589,0.9866260742440665
0.25,0.992173339924205,0.9968895722911059,0.006443641145278305,0.9890872564756787,0.9860107720666227
0.26,0.9911435162300214,0.9969672935627186,0.006446982738698093,0.9881376689080809,0.9851409374386632
0.27,0.9899489207447685,0.9970413556458143,0.006450866576834053,0.9870200139594748,0.9840997727677053
0.28,0.989042675893887,0.997115609686115,0.006453816447153416,0.9861898907795197,0.983345334210904
0.29,0.9882188169385401,0.997179777531178,0.006456501889220127,0.9854318200268973,0.9826526830665654
0.3,0.9870654144010546,0.9972553007503466,0.006460268097848758,0.9843562166987891,0.9816544549294244
0.31,0.9859120118635689,0.9973263945302208,0.006464041207979509,0.9832760721159294,0.9806471798312172
0.32,0.9846350304827813,0.9973847278220284,0.006468227653012226,0.9820599418821034,0.9794915878389987
0.33,0.9831108914153897,0.9974560529559771,0.006473234943495781,0.9806099093692268,0.9781152896889473
0.34,0.9820398747734388,0.9975232669208207,0.006476759430449327,0.9796076241305144,0.9771813975232141
0.35,0.9806805074971164,0.997583596390759,0.006481242777276651,0.9783107875792881,0.9759467938612222
0.36,0.9793623331685616,0.9976501195921279,0.006485598651593322,0.9770609488096409,0.9747649724287362
0.37,0.9778381941011699,0.9977197398525027,0.006490646591947242,0.9756084686364603,0.9733838275258678
