probability,efficiency,purity,rel_uncertainty,efficiency*purity,efficiency*purity**2
0.0,1.0,0.9900493474917806,0.006418824793985513,0.9900493474917806,0.9801977104689006
0.01,0.9994232987312572,0.9936248344777688,0.006420440787890573,0.9930518097750712,0.986720940115604
0.02,0.9988877904102818,0.994147302615886,0.006422127264563815,0.9930416024523241,0.987229630463335
0.03,0.998311089141539,0.9944995616643904,0.006423958837418612,0.9928199405559607,0.987358995694569
0.04,0.9974460372384247,0.9947725583589891,0.006426725965341728,0.9922319462887034,0.9870451116951325
0.05,0.9967869500741473,0.9950013228738386,0.006428835320347133,0.9918043339471555,0.986846624309426
0.06,0.9957983193277311,0.9951883672509572,0.006432013538404157,0.991006903523012,0.9862385422514932
0.07,0.9946037238424782,0.9953649531998104,0.006435863462722573,0.9899936890348255,0.9854050219542568
0.08,0.9935327072005272,0.995531786976683,0.006439320471215325,0.9890933914191224,0.9846739114463068
0.09,0.9929148129840172,0.9956951748154584,0.006441313041393922,0.9886404882909792,0.9843845638185267
0.1,0.9916790245509969,0.9958317003035974,0.006445316274272361,0.9875454091740321,0.9834290239447881
0.11,0.9904020431702093,0.9959634361882318,0.006449461438994085,0.9864042221236472,0.9824225385368476
0.12,0.989536991267095,0.9960821467523786,0.006452272080220396,0.9856601305522178,0.9817984588086829
0.13,0.9883423957818421,0.996202338403313,0.006456162389321121,0.9845890058210037,0.9808498699650771
0.14,0.9873537650354259,0.9963102280327779,0.006459386744936532,0.983710654791467,0.9800809867935598
0.15,0.9857472400724996,0.9964140249226531,0.006464641379036481,0.9822123750370361,0.9786901859394915
0.16,0.9841819080573406,0.9965158086230997,0.0064697736134792195,0.980752829939986,0.9773356993870386
0.17,0.9829461196243203,0.996608556360444,0.006473833223241141,0.9796125132588942,0.9762902126315729
0.18,0.9814219805569286,0.9966963772975453,0.006478852388457691,0.9781797326212728,0.9749481958495041
0.19,0.9803097709672104,0.9967773994032034,0.00648252129497205,0.9771506241142459,0.9740016579298152
0.2,0.9791151754819575,0.9968486424888904,0.006486469978223636,0.976029633519461,0.9729538152028039
0.21,0.9772614928324271,0.996926885338866,0.006492613712128536,0.9742582562110421,0.9712642488801491
0.22,0.9758197396605701,0.9969982212941361,0.006497403581926251,0.9728905447452953,0.9699701426249425
0.23,0.9744191794364805,0.9970737227713161,0.006502066368168497,0.9715677587805027,0.9687246821718599
0.24,0.9723595320481133,0.9971326348397668,0.006508945152986127,0.9695714222026979,0.9667913068863161
0.25,0.9700527269731422,0.99719279665548,0.006516675776807938,0.9673295917136224,0.9646141008485107
0.26,0.9680754654803098,0.9972567497885768,0.006523323190096748,0.9654197922549573,0.9627714042057418
0.27,0.9664689405173834,0.9973138616930743,0.006528738889575216,0.9638728712738058,0.9612837754312709
0.28,0.9646152578678531,0.9973700694718112,0.006535005225052093,0.9620783867532297,0.9595481874333966
0.29,0.96280276816609,0.9974218805228483,0.00654115001134442,0.9603205475968254,0.9578447264887571
0.3,0.9602076124567474,0.997474425478262,0.006549979944667217,0.9577825365751478,0.955363585403408
0.31,0.9577772285384742,0.9975268205842025,0.006558281561040698,0.9554084736119333,0.9530455770413178
0.32,0.9560059317844785,0.9975794199899529,0.0065643508675412915,0.9536918429365145,0.9513833555257575
0.33,0.9538227055528093,0.9976294634153134,0.006571855880804674,0.9515616339339917,0.9493059222681671
0.34,0.9517218652166749,0.9976803770717617,0.006579101873258108,0.9495142293568126,0.9473117143797081
0.35,0.9492502883506344,0.9977288918802965,0.006587658114182194,0.9470944383131303,0.9449434844441513
0.36,0.946202010215851,0.9977763132607724,0.006598257784727426,0.9440979533531035,0.9419985752537003
0.37,0.9431537320810677,0.9978222887230477,0.006608908903501449,0.9410998155628151,0.9390503718817261
0.38,0.939693524468611,0.997865870631994,0.0066210626971966715,0.9376880969211174,0.9356869492154484
0.39,0.9368924040204317,0.9979121304291367,0.006630950023663784,0.9349362948789045,0.9329842698381312
0.4,0.933308617564673,0.9979547436422203,0.006643665956906337,0.9313997621808282,0.9294948108955933
0.41,0.9303839182731917,0.9980048953708216,0.006654096694602307,0.9285277050109317,0.9266751950883441
0.42,0.9277063766683143,0.9980536517084041,0.00666368899193195,0.9259007369469834,0.9240986116294392
0.43,0.9245757126379964,0.9980936972077875,0.006674958555564054,0.9228131913753828,0.9210540300119734
0.44,0.9214450486076784,0.9981322185538667,0.00668628561217322,0.9197239906422575,0.9180061472369723
0.45,0.9181084198385236,0.9981687898089172,0.006698421901979662,0.9164271703435964,0.9147489995698781
0.46,0.9143598615916955,0.9982093579444411,0.006712135700772271,0.9127225703696143,0.9110882109500527
0.47,0.9106524962926347,0.9982375937133545,0.006725782815196177,0.9090475566082191,0.907445445479593
0.48,0.90731586752348,0.9982754524133366,0.006738135819884322,0.905751158133801,0.9041891471599238
0.49,0.9034025374855824,0.998313895852377,0.0067527114384199945,0.9018793067201548,0.9003586442804385
0.5,0.899365628604383,0.9983547564489899,0.006767846839037221,0.8978859531039214,0.8964087120300346
0.51,0.8943812819245345,0.9983836266957986,0.0067866771052433085,0.8929356278966543,0.8914923105853518
0.52,0.8894381281924535,0.9984170925975142,0.006805507533009457,0.8880302299952846,0.8866245603705939
0.53,0.8854012193112539,0.9984501754637861,0.0068210021585488655,0.8840290027771717,0.882658912937943
0.54,0.8816938540121931,0.9984850705231477,0.00683532524704948,0.8803581500031906,0.8790244694915637
0.55,0.8775333662876915,0.998514299512105,0.006851507593739999,0.8762296145372538,0.8749277997714278
0.56,0.8729197561377492,0.9985473314354717,0.006869587442700418,0.8716516930486522,0.8703854720349425
0.57,0.8677294447190641,0.9985644739381153,0.006890100785230701,0.8664837964865052,0.8652399364144481
0.58,0.8623743615093096,0.9985979113215048,0.0069114580544341175,0.8611652361804129,0.8599578061524507
0.59,0.8569780853517878,0.9986234717700194,0.006933182374083696,0.8557984308248263,0.8546204001256229
0.6,0.8511286867688251,0.9986559526942217,0.006956963508252821,0.8499847295505029,0.8488423098647978
0.61,0.8447437798648871,0.9986846163570956,0.006983203725132092,0.8436326177144077,0.8425229171684455
0.62,0.8387708024386225,0.9987103908412484,0.007008021861630907,0.8376891159297042,0.8366088243736147
0.63,0.833415719228868,0.9987364759546488,0.007030498851293317,0.8323626784278486,0.831310968169202
0.64,0.8268660405338606,0.9987651305433426,0.007058286480848496,0.8258449689156581,0.8248251581876099
0.65,0.8203987477343879,0.9987994249397433,0.007086050028102698,0.8194137974583922,0.8184300296891334
0.66,0.8135607184050091,0.9988276131583181,0.007115765034019851,0.8126069105238418,0.8116542208744839
0.67,0.8058164442247487,0.9988498443421626,0.007149874585289606,0.8048896298822452,0.8039638815205015
0.68,0.7983605206788598,0.9988760348132468,0.007183181587591127,0.7974631912471386,0.7965668703824598
0.69,0.7909457900807382,0.9988996281121371,0.007216770733143098,0.7900754555685098,0.7892060787479117
0.7,0.7827483934750371,0.9989268375053566,0.00725445942336073,0.7819083772564174,0.7810692625116983
0.71,0.7733152084363157,0.9989529555624236,0.007298569667515972,0.7725055130488292,0.7716966654483943
0.72,0.7638820233975944,0.9989889612855971,0.0073434937633446865,0.763109709098703,0.7623381756394675
0.73,0.7560553633217993,0.9990191496731415,0.007381403446985343,0.7553137861715621,0.754572936397515
0.74,0.7462102488054045,0.9990423953152576,0.007429935363295625,0.7454956743753457,0.7447817842251087
0.75,0.7350469599604548,0.9990798463733674,0.007486139797344036,0.7343706038345019,0.7336948700600913
0.76,0.7250370736529906,0.9991089720323866,0.007537637382439404,0.7243910453428092,0.7237455926619201
0.77,0.7134618553303674,0.9991312054567989,0.007598535042756664,0.7128420035636743,0.7122226903208136
0.78,0.7021337946943483,0.9991597952245106,0.007659584049740486,0.7015438585270136,0.700954418026864
0.79,0.6891992090954029,0.9991820114916526,0.007731124047371409,0.6886354520624007,0.6880721561761731
0.8,0.676099851705388,0.9992122585120357,0.007805657184026234,0.6755672598021931,0.6750350874437365
0.81,0.6610644257703081,0.9992389755226855,0.00789392295139882,0.660561339561215,0.6600586362130413
0.82,0.6471412094249465,0.999267554596095,0.007978387450451917,0.6466672138204256,0.6461935653918067
0.83,0.6307876091613116,0.9992907347947976,0.008081146357543182,0.6303402134582606,0.6298931350774148
0.84,0.61422804415884,0.9993210090496022,0.008189353072300832,0.6138109888753757,0.6133942167686746
0.85,0.5972977426264624,0.9993358645664949,0.0083046037327621,0.5969010560312316,0.5965046328896246
0.86,0.5782666007579502,0.9993607310532981,0.008440150428135694,0.5778969328771708,0.5775275013135882
0.87,0.5576289339265118,0.9993825461915852,0.008594913214798054,0.5572846238175766,0.5569405263042294
0.88,0.5362909869830285,0.9994145634892326,0.008764229797102447,0.5359770226588532,0.5356632421408563
0.89,0.5140467951886637,0.9994385635640697,0.008951845372967102,0.5137581905880716,0.5134697480206178
0.9,0.4901548854836052,0.9994697215231974,0.00916741929154269,0.4898949668975336,0.4896351861406939
0.91,0.46515076618882845,0.9994948469922833,0.0094105884803405,0.46491579388024645,0.4646809402686328
0.92,0.43656286043829295,0.9995093915788732,0.009713823222163829,0.4363486790226107,0.43613460268613463
0.93,0.40492667655297415,0.9995491003061805,0.010086145293236797,0.4047440952384971,0.4045615962498788
0.94,0.3692947767342231,0.9995765341346148,0.010561526948167877,0.3691383930020111,0.36898207549297163
0.95,0.33020266930301534,0.9996057423066216,0.011169220787812364,0.33007248436026854,0.32994235074393696
0.96,0.2894216510133465,0.9996536435690522,0.011930192387226401,0.2893214079632625,0.2892211996330035
0.97,0.24303839182731915,0.9996713971781233,0.01301893432478428,0.24295852872594031,0.24287869186780195
0.98,0.19035261163288844,0.9997246533582456,0.014710696107955805,0.19030019868052614,0.19024780015989426
0.99,0.1303344867358708,0.9997638121987809,0.017777995786830817,0.13030370332002564,0.13027292717484776
1.0,0.0651672433679354,0.9997829584046166,0.025141877889026103,0.06515309936546809,0.06513895843283764
