probability,efficiency,purity,rel_uncertainty,efficiency*purity,efficiency*purity**2
0.0,1.0,0.5012491998926307,0.011098117112247107,0.5012491998926307,0.2512507603930025
0.01,0.9999588070522326,0.5891704286199699,0.009932010895805001,0.5891461589532777,0.34710749499031157
0.02,0.9999176141044653,0.613305035498623,0.009651204771409428,0.6132545078140376,0.3761120776845789
0.03,0.9999176141044653,0.6284205348590364,0.0094823204804122,0.6283687618704996,0.39487983342336985
0.04,0.999876421156698,0.6389985784236297,0.009367368722857587,0.6389196117184365,0.4082687236150584
0.05,0.9998352282089307,0.6483252310486671,0.009268017818590275,0.6482184053391518,0.42025634741150414
0.06,0.9996704564178612,0.6572063045008937,0.009175649025690971,0.6569897263811043,0.43177779016997886
0.07,0.999629263470094,0.6651773477331286,0.009093582546406253,0.664930742191458,0.44229686751713476
0.08,0.9995056846267919,0.6721702033353648,0.009022987963349128,0.6718379392704438,0.45158944424782665
0.09,0.9992173339924205,0.6789732967586631,0.008955934465783862,0.678441887439236,0.46064392497378787
0.1,0.9990525622013511,0.6856553205925591,0.008890352421074393,0.6850057048249849,0.46967780614950694
0.11,0.9988465974625144,0.691436881576321,0.008834522995035203,0.6906393765225997,0.47753353679660093
0.12,0.9987642115669797,0.6970245795601553,0.008780596386642006,0.696163204647204,0.48524286502446773
0.13,0.9986406327236778,0.70261418965917,0.008727360846512435,0.7016590789218676,0.4929956251536876
0.14,0.9983934750370737,0.7083528173953706,0.008673766092858913,0.7072148309116657,0.500957617980069
0.15,0.9983522820893063,0.7138733431516937,0.0086218569972662,0.7126970812582158,0.5087754480522568
0.16,0.9981463173504695,0.7195545657015591,0.008569648374729337,0.7182207398877277,0.5167990125677664
0.17,0.9978991596638656,0.7251257183908046,0.008519127788755293,0.7236023450328408,0.5247026702712095
0.18,0.9974048442906575,0.7302089930335656,0.008474580976316808,0.7283139869962812,0.5318214230568159
0.19,0.9969105289174494,0.7357045143638851,0.008426668848076033,0.7334315765414559,0.5395889218385703
0.2,0.9963338276487066,0.7406828969529934,0.008384176074339554,0.7379674257951084,0.5465998507948641
0.21,0.9959218981710332,0.7454444547220423,0.008343266149157086,0.7424044563278472,0.5534212851305264
0.22,0.995304003954523,0.7503959750302804,0.008301843072088807,0.7468721184989964,0.5604498315839855
0.23,0.9946861097380129,0.7552782208876795,0.00826135096166498,0.7512647553046135,0.5674139078020863
0.24,0.9939034437304334,0.7597694996378751,0.008225259606638924,0.7551375221314324,0.5737304573475832
0.25,0.9935327072005272,0.7643721873613488,0.008186754189006083,0.7594287686179095,0.5804862290136071
0.26,0.9927912341407151,0.769311797752809,0.0081471420962706,0.7637660091300235,0.5875742015463067
0.27,0.9917202174987642,0.7737177015040494,0.008113734924748182,0.7673114872182397,0.5936824802281502
0.28,0.9910611303344867,0.7780796222631868,0.008079242560086167,0.7711244699303844,0.5999962362813337
0.29,0.9900724995880705,0.7830520622923047,0.008041158404422162,0.7752783126213356,0.607083281548635
0.3,0.9889190970505849,0.7875795551473,0.008007749195881793,0.7788524625317693,0.6134082759661501
0.31,0.9880128521997034,0.7920023774930657,0.007974435243898223,0.78250852793587,0.619748614533808
0.32,0.9866946778711485,0.7963892675466303,0.00794328910065178,0.7857930518019624,0.6257971529677961
0.33,0.9852941176470589,0.8007431957416893,0.007912941549141848,0.7889675605101939,0.6317604057394572
0.34,0.98434667984841,0.805256950294861,0.00787965876795425,0.7926520054476025,0.6382885365518419
0.35,0.9829873125720877,0.8096288254054421,0.007849386231222368,0.7958548632661916,0.6443470381394154
0.36,0.9809688581314879,0.8136531365313653,0.007824741825784598,0.7981683882582771,0.6494322125865317
0.37,0.9794859120118635,0.8177597413763456,0.0077974454940377075,0.8009841460885955,0.6550125881519628
0.38,0.9774262646234965,0.8217773775715176,0.007773310594541165,0.8032267925118212,0.6600736071455459
0.39,0.9747899159663865,0.8259109311740891,0.007750680539628381,0.8050896471949104,0.6649323401933673
0.4,0.9725243038391828,0.8302211907022541,0.007725314553248342,0.8074102855202471,0.6703291286298665
0.41,0.9703410776075136,0.8345497059448735,0.007699632568350915,0.8097978609835822,0.6758165667586361
0.42,0.9680754654803098,0.8387522752418002,0.007675424625293225,0.8119754992773746,0.6810462974594946
0.43,0.9655626956665019,0.8420145125368201,0.007659721267329808,0.8130178025153676,0.684572788668734
0.44,0.962926347009392,0.8458532349109856,0.007640080116086867,0.8144943655989124,0.6889426939586111
0.45,0.9602488054045147,0.8502078926252826,0.007616696368480418,0.8164111132389176,0.6941191721027211
0.46,0.9574064920085681,0.8539829512051734,0.007598610624393624,0.8176088215484693,0.6982239943573457
0.47,0.9540698632394135,0.8578465869106263,0.007581912250843388,0.8184455758542188,0.7021007438186437
0.48,0.950774427418026,0.8616493074999066,0.0075656362321392815,0.8192341269733623,0.7058925181868883
0.49,0.9478085351787774,0.8662048714377141,0.00754237480980442,0.8209963703621009,0.7111510554403335
0.5,0.9431125391333004,0.8699038717276493,0.007532718494281235,0.8204172492669521,0.7136841415694696
0.51,0.938375350140056,0.8740024554941682,0.00752030640064185,0.8201423601976088,0.7168064366674927
0.52,0.9348327566320646,0.8768933539412674,0.007512449819394138,0.8197486313372517,0.7188321267220863
0.53,0.930425111220959,0.8808595273379611,0.007499972949463785,0.8195738236934638,0.72192941095719
0.54,0.9252347998022739,0.885092800567443,0.007488768611613865,0.818918660139452,0.7248190103397656
0.55,0.919838523644752,0.8887208469314655,0.007483151508517834,0.8174796717737529,0.7265112262480261
0.56,0.913700774427418,0.8915192926045016,0.00748700521431347,0.814581868069717,0.7262154507899675
0.57,0.9079749546877575,0.8952156607911623,0.007482546425182699,0.8128333990426264,0.7276611884370713
0.58,0.9029494150601417,0.8985816184307617,0.007477856383088633,0.8113737467458517,0.7290855345031184
0.59,0.8970588235294118,0.9015897987910905,0.00747960664344346,0.8087790842096547,0.729186971799025
0.6,0.8898088647223595,0.9045266111134375,0.007487784097715206,0.804855796946011,0.7280134864465803
0.61,0.8832591860273521,0.9083283910870118,0.007486725629991172,0.8022893953570484,0.7287422356708393
0.62,0.8758856483769979,0.9114797668038409,0.00749432403887721,0.798352046529497,0.727681737198075
0.63,0.868800461361015,0.9144554283732224,0.007502292163589692,0.7944792980647402,0.726515906845449
0.64,0.8608914153896853,0.917548404091847,0.0075132354235883745,0.7899095442871771,0.7247802417376175
0.65,0.8516230021420332,0.9205218397969633,0.0075314331524240765,0.7839375727451977,0.7216316567493751
0.66,0.8419014664689405,0.9235427022141889,0.007551804097522727,0.7775319553408137,0.7180839630933371
0.67,0.8322623166913824,0.9268315060323868,0.007570331248116899,0.7713669363930772,0.7149271793607841
0.68,0.8223348162794529,0.929549264295027,0.007595112889736698,0.7644007234767517,0.710548130134401
0.69,0.8114598780688747,0.9328061369447864,0.007620858047173793,0.7569347541471144,0.7060733839352215
0.7,0.799472730268578,0.9353703792953877,0.007658030195172807,0.747803110947639,0.699472879525364
0.71,0.7881858625803263,0.9385392652180311,0.007688167888965524,0.7397433803213795,0.6942782086167301
0.72,0.7752100840336135,0.9416562421816362,0.007728031975804908,0.7299814146324028,0.6873915557651834
0.73,0.7623578843302027,0.9439938791124713,0.007774645866016551,0.7196611765008447,0.6793557456516773
0.74,0.7489701763058164,0.9468805332777835,0.007821146117248495,0.709185279949607,0.671513736071438
0.75,0.7336875926841325,0.9497680371140618,0.00787933724009621,0.6968330247585498,0.6618297341211823
0.76,0.7181166584280771,0.9529874815503198,0.007938643036029112,0.6843561857747045,0.6521828779648183
0.77,0.7016806722689075,0.9552489905787349,0.008012901138483498,0.670279753893482,0.6402840583121115
0.78,0.683679354094579,0.9577034045008656,0.008097768314009322,0.6547620450033311,0.6270678396376391
0.79,0.6646482122260668,0.9601309134186254,0.008192937134429678,0.63814929510667,0.612706865608219
0.8,0.643969352446861,0.9624453610786184,0.00830417097878918,0.6197853159392833,0.5965095021904091
0.81,0.6235376503542593,0.9646316594443028,0.008420672545984697,0.6014841583872307,0.5802106618345342
0.82,0.600387213709013,0.9666401379493301,0.008564245346225421,0.5803583790826943,0.5609977036165452
0.83,0.5774427418026034,0.9680939226519337,0.00872003665258142,0.55901880901857,0.5411827116589997
0.84,0.5530153237765695,0.9696641386782232,0.008896549379841065,0.5362391276056659,0.5199718517953099
0.85,0.5274756961608172,0.9719165085388994,0.009088870632379925,0.5126623369517469,0.49826498858953466
0.86,0.49859943977591037,0.9747926230168318,0.009321488901234855,0.4860310557338825,0.47377948768647127
0.87,0.4718240237271379,0.9761377194477586,0.009569442451471812,0.46056522650167353,0.449575089854284
0.88,0.44356566155874116,0.9795324297280087,0.009836094010751932,0.43448695021054534,0.42559405802484784
0.89,0.41353600263634865,0.9810417277435747,0.010171599049283294,0.4056960745105349,0.39800477787660116
0.9,0.3807876091613116,0.9829859634198214,0.01057937098952631,0.3743088748497623,0.3679403699607829
0.91,0.34766847915636845,0.9849457346248104,0.011050126633804776,0.3424345856085599,0.3372794844831655
0.92,0.31343713956170705,0.9862605314322748,0.011622607154409522,0.30913067983474124,0.3048833885758323
0.93,0.27533366287691546,0.9890500147972773,0.012366234781431373,0.2723187633426018,0.26933687691357655
0.94,0.23879551820728293,0.990940170940171,0.013253576562626953,0.23663207163207164,0.23448822551301185
0.95,0.199085516559565,0.9924024640657084,0.014494099349389793,0.1975729571935067,0.19607188955158478
0.96,0.16147635524798154,0.9936628643852978,0.016073453063289146,0.16045305768620727,0.15943624489985614
0.97,0.1214368100181249,0.9942664418212479,0.018523640354784324,0.12074054500284391,0.12004827206353587
0.98,0.08452792881858626,0.9951503394762367,0.022182859018988386,0.08411799705903929,0.08371005332936403
0.99,0.049761080902949416,0.9975227085053675,0.02884313144070256,0.04963780820046482,0.049514840880397606
1.0,0.020390509144834406,0.9979838709677419,0.04503736729213728,0.02034939924736498,0.020308372232753356
