plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
1-ring,0,8034,1400,0.8516005935976256,0.003660042460139947
1-ring,1,2748,627,0.8142222222222222,0.006694705372030191
1-ring,2,771,199,0.7948453608247423,0.012965704691394964
1-ring,3,498,111,0.8177339901477833,0.015644086976071524
1-ring,4,353,109,0.7640692640692641,0.019753208067245
1-ring,5,236,51,0.8222996515679443,0.022564111880259856
1-ring,6,153,52,0.7463414634146341,0.030389013050108916
1-ring,7,123,28,0.814569536423841,0.031627593656341615
1-ring,8,8,7,0.5333333333333333,0.12881223774390613
