LikelihoodQRing,LikelihoodTRing,LikelihoodThetaRing,LikelihoodPhiRing
0.260499,-0.0447188,-0.220251,0.321994
-0.253479,-0.226201,0.131348,-0.0371521
-0.48743,-0.352174,0.13101,0.143744
-0.796367,-0.0414246,0.0501896,0.338802
-0.533603,0.00148362,0.133618,0.213673
0.528467,0.0176639,0.203948,-1.11112
-0.167602,-0.454487,0.140083,0.00969105
-1.00242,-0.651136,-0.0839958,-1.6053
0.718007,0.028495,0.131943,0.252529
0.0994047,0.0253489,-0.00893707,0.301986
-0.227518,0.026874,0.142222,0.233177
0.707244,0.0303259,0.163637,-0.521119
-0.492287,-0.372291,-0.267815,-0.345486
0.709713,-0.348197,-0.512944,0.106643
0.841796,0.00632024,-0.147372,-1.21512
1.09168,0.0308634,0.0983231,0.147066
0.489101,-0.0249374,0.189599,-1.41509
0.48871,0.00798465,0.0826002,0.307065
1.26421,-0.234232,-0.330515,-0.941781
0.778006,-0.00421598,0.168431,0.225811
0.275353,-0.228666,-0.139266,0.152302
-0.659869,-0.119038,-0.226853,-0.141582
0.544634,-0.425349,-1.19731,-0.11009
-0.0588591,-0.211121,0.132011,0.239182
0.0326392,0.409161,-0.519414,0.134553
0.792016,0.013681,0.063206,0.31976
0.0643249,0.132565,0.11783,0.184191
0.929793,0.0321874,0.00844495,0.47523
-0.0247251,-0.243159,-0.0985318,0.182681
0.884308,-0.127361,-0.0100991,0.111518
0.791358,0.0351033,0.110923,0.333641
0.0200242,0.0100458,0.0733951,0.278792
0.58361,0.0381309,0.0979461,0.266452
-0.0670356,0.0475383,0.169857,0.291674
0.70039,-0.328065,0.187167,-0.511235
0.818406,0.0213256,0.0781181,0.200189
0.701435,-0.400449,-0.811396,0.0542073
0.325696,-0.0214599,0.0603718,0.192536
0.611187,-0.564951,-0.327142,0.00268343
0.74343,-0.0828907,-0.413228,0.0592277
-0.137569,0.0317362,0.149161,0.341037
0.325971,0.0512698,0.142456,0.265943
0.219246,-0.0308983,-0.127829,0.254297
0.390064,-0.508023,-1.12912,0.0314692
0.858909,0.0356231,0.121198,0.355425
-0.365894,0.0567267,0.143767,0.364346
-0.885006,-0.123441,0.00874971,0.33386
0.345556,0.352257,0.160918,0.242919
-0.686109,-0.0190443,0.175174,0.234102
-0.478588,-0.0979704,-0.389534,0.101162
0.68256,0.0139028,0.0827654,0.256529
0.274353,0.0384772,0.150849,0.327917
0.430115,0.00753079,0.0963119,0.400026
1.14954,-0.192365,-0.179957,-0.681459
0.954584,0.0109035,0.0566749,0.372231
0.365398,-0.372228,-0.524866,0.220856
0.898015,-0.386736,0.0224841,0.260053
-0.545081,-0.035732,-0.0720684,0.231305
0.549351,-0.00193762,0.0710248,0.318751
0.0747765,0.0417133,-0.598609,0.15308
0.336801,-0.113928,0.136839,0.258781
0.0827011,-0.0343796,0.0121383,0.287741
1.19437,0.0211665,0.135404,0.275364
0.0727778,0.0127779,-0.196072,0.163872
0.96541,0.0400041,0.190454,0.117632
-0.321609,0.0270195,0.136282,0.106786
-0.257236,0.0743108,0.133232,0.19582
0.5964,-0.214131,-0.0842835,-0.186077
0.305042,-0.283869,0.146926,0.00226519
0.472095,0.0112856,-0.360588,0.299418
0.590143,0.0340465,0.118919,0.267251
-0.178271,-0.266724,0.0683433,0.158615
-0.324353,0.0845657,0.135086,0.187562
1.06761,0.0292536,0.226676,0.168439
-0.679692,-0.114179,-0.673068,-0.963021
0.585203,-0.0649761,0.114744,0.176984
1.00979,-0.319252,-1.28017,-0.0273765
0.193022,0.0325345,0.162017,0.234939
0.420975,-0.0176957,-0.0775449,0.276156
0.254336,0.0376889,0.139858,0.166705
-0.653353,0.0248296,0.0919729,0.169576
0.225261,0.0521917,0.133237,0.339829
0.253017,-0.361321,-0.473812,0.164519
0.237958,-0.652884,0.0206559,0.123633
0.498944,-0.00127665,0.154675,0.300146
0.379478,0.0117914,0.173739,0.273732
0.60749,-0.413211,-0.566068,-0.0963343
-0.329186,0.046791,0.0991343,0.0311846
0.423583,-0.261906,-0.341273,-0.0285902
0.44079,0.058309,0.242709,0.296066
0.131247,-0.285576,-0.547764,-0.105028
-0.0937411,0.0307556,0.15322,0.196894
0.392787,0.0541746,0.151425,0.127538
0.559869,0.044509,0.0954655,0.2653
0.665998,0.0130072,0.14677,-1.39049
0.0582284,0.0434942,0.15674,0.233358
0.491562,-0.620446,-0.890131,0.0704495
0.786538,-0.467068,-0.128925,0.200049
0.505324,-0.823537,-0.719562,-0.212634
0.252484,-0.0229564,0.0376151,0.226673
-0.460356,0.042058,0.0732367,0.306598
0.621822,0.0522201,0.154428,-0.158032
0.31258,-0.189481,0.160802,0.0428378
0.462226,0.0225824,0.094277,0.318839
0.781953,-0.137502,-0.257711,0.0432835
0.463582,-0.266222,0.107636,0.104088
0.557359,-0.452871,-0.755778,-0.0920063
0.286623,-0.335969,-0.47152,-0.0217484
0.0789418,-0.273607,-0.102825,0.207926
0.684663,0.0360733,0.094489,0.38398
1.03991,-0.0403671,-0.0391495,0.316533
0.174152,0.0412189,-0.0346672,0.0897021
0.0976693,-0.322487,0.0428815,-0.374135
0.616605,-0.443124,-0.177781,0.0431497
0.110009,-0.427558,-0.899712,-0.155122
0.434064,-0.245128,0.106028,0.26241
1.1786,-0.0325113,0.122943,-0.930067
-0.129715,-0.327924,-0.0477528,-0.121605
0.954683,-0.217074,-0.547453,-0.884289
-0.114231,0.0330482,0.114144,0.270549
0.336677,-0.141616,0.0584551,0.128034
-0.310159,0.036496,0.143106,0.161903
-0.564551,-0.0313848,-0.401849,0.149099
0.520685,-0.406017,0.135834,-0.024538
-0.0169553,0.447491,0.143534,0.27186
0.552295,-0.0017471,0.216151,-1.91912
0.250082,0.0615017,0.111468,0.259827
0.707081,0.0377347,0.113903,0.163897
0.178197,-0.239285,0.11534,0.19312
0.0313993,-0.0547267,-0.25171,0.114908
0.534088,0.0314963,0.0809174,0.477458
0.162539,-0.197002,0.0233842,0.313486
0.456212,-0.243267,-0.157495,-0.171724
0.862036,-0.00914257,-0.0442647,0.236071
-0.0347386,0.009962,-0.241598,0.251932
0.461315,-0.23416,-0.663688,0.11035
0.885756,-0.136062,-0.00500964,0.311998
0.27824,0.0470349,-0.17281,0.270427
-0.0959575,0.0134077,0.223602,0.0904777
0.915856,0.0544216,0.138626,0.201692
0.332436,-0.448353,-0.206004,0.253096
0.804269,-0.0354344,-0.255066,0.346815
0.064349,-0.451617,0.171213,-0.221179
0.128401,0.0351206,0.146048,0.274549
0.358916,-0.511646,-0.647196,-0.00211204
0.917386,0.00776023,-0.036818,0.385095
0.496492,-0.604118,-0.335888,0.141838
-0.202804,-0.352394,-0.543538,0.021193
0.280428,-0.386302,-0.229274,0.143473
0.161226,0.0211334,-0.208384,0.171214
0.144143,-0.0339984,-0.0266445,0.300758
0.34381,0.0503658,0.0323203,0.482463
0.127118,0.0610048,-0.303556,0.193631
1.01772,-0.258477,-0.118418,0.255423
0.759054,-0.0299468,0.0025268,0.146735
0.0212297,-0.367426,-0.187174,0.0139372
-0.0094565,-0.206444,-2.65274,-0.0550456
0.292165,-0.0846168,-0.679502,0.238206
0.232871,0.517778,0.178346,0.126768
-0.507448,0.0362026,0.119283,0.124681
0.734782,-0.109521,0.0654533,0.311651
-0.000716912,0.00109009,0.0957637,0.186796
-0.111164,-0.0579834,0.140519,0.118208
1.12457,-0.277909,-0.102539,-0.378684
0.440517,0.0381028,0.141886,-0.229605
0.460458,0.0379255,0.123189,0.313332
0.180856,0.0342419,0.160531,0.342642
0.0789188,0.0980988,0.0944617,0.253834
0.48265,-0.326541,-0.085274,0.119894
0.396745,0.0234673,0.139832,-0.893941
-0.371408,0.0199891,0.126884,0.145763
0.768037,0.0276433,0.181951,0.22639
0.434542,0.0842673,0.153643,0.34044
0.341528,-0.174276,-0.34023,-0.0209225
0.745438,-0.471052,0.00909093,0.21205
0.362167,-0.238169,-0.338568,0.172595
0.652099,-0.00157482,0.00929998,-0.173696
0.16091,-0.208789,-0.183358,0.169191
-0.26424,0.0147377,-0.336184,0.301883
0.490407,0.0116832,0.0731158,0.273703
0.531502,-0.187294,-0.00839753,0.0393826
0.303909,0.0404351,0.159837,-0.135614
0.452651,0.00512737,0.146451,0.379849
0.362761,-0.0612032,-0.0976953,0.209695
0.561173,0.0336697,0.151836,0.172571
0.471464,0.0553921,0.113341,0.153108
-0.76774,-0.72613,-0.170245,-0.341724
0.729238,-0.180781,0.0794808,-0.0606816
0.349426,0.033173,0.121783,0.196514
0.929962,0.0171299,0.0850941,0.169045
0.114369,0.0413485,0.19464,0.282805
0.183149,0.0447282,0.12047,0.381845
0.481675,-0.499774,-0.128794,-0.0645276
0.734087,-0.24601,-0.506018,0.0850333
0.82016,-0.00427321,0.152514,-1.94985
0.0425422,0.0107222,0.179917,-1.04847
0.32701,0.0266598,-0.00456232,-0.431091
-0.0741309,0.0249908,0.153264,0.164126
-0.336843,0.0225676,0.165624,0.254738
0.228547,-0.139314,0.153774,0.24675
0.0923669,-0.872743,-0.425085,0.218585
0.80613,0.016809,0.100584,0.162421
-1.04103,0.00779052,0.0220362,0.0563371
0.592693,-0.604064,-0.258928,0.136204
-0.351149,0.15656,0.116753,0.269014
0.0520761,-0.00680151,0.123807,0.184087
-0.0861836,0.0291605,0.055556,0.37682
0.624609,0.510482,0.11594,0.221198
0.385974,0.0228203,0.114589,0.242263
-0.434415,0.0182201,0.180503,-1.46392
0.337271,0.0403411,0.0983396,0.288393
0.710826,-0.109322,0.105657,0.25492
0.289382,0.0096448,0.139321,0.291497
0.421708,0.0105423,0.110056,0.298902
-0.265807,-0.0582853,0.0458564,0.205272
1.26075,0.0191267,0.165901,0.0768689
-0.085692,-0.225616,-0.415434,0.128598
0.486934,-0.0585919,-0.0852061,0.387981
0.241532,-0.193673,-0.318301,0.312809
0.671147,0.122623,0.15136,0.182293
0.444348,0.0326148,0.13786,0.268766
0.17197,-0.675836,-0.834517,-0.0427434
0.967695,0.0278381,0.119237,0.21677
0.827465,-0.00670718,0.158164,0.0407506
1.11262,0.0302008,0.0580888,0.261678
-0.00792922,0.0419898,0.120855,0.369491
0.400453,-0.00564663,0.151909,-0.117306
-1.07673,-0.046493,-0.630604,0.244198
0.345936,-0.658807,0.00790946,-0.0666767
0.89684,0.00645925,0.0350548,0.304484
0.76975,-1.08452,-0.536159,-0.53326
-1.01113,-0.317207,0.0290547,0.31257
0.543498,0.0484055,0.141931,0.357494
0.449757,-0.219188,0.133773,0.12199
0.281135,-0.611594,-0.113574,-0.0358358
-0.19333,0.0395792,0.101646,0.292006
0.0887844,-0.293513,-1.00961,0.151117
0.37288,0.0321923,-0.0266439,0.301097
1.15151,-0.00967699,0.075941,-0.393717
0.0828193,-0.169547,0.00489075,0.19848
0.373661,0.0189657,0.240044,0.369385
0.384205,0.277908,0.157559,0.25359
0.577671,-0.114479,-0.208922,0.0647666
0.7764,-0.244993,-0.625199,-0.910177
1.08908,-0.0224589,0.165032,0.235361
0.883172,-0.255277,0.0592061,0.0903432
0.978982,0.0308826,0.105529,0.348576
0.0788257,-0.0137957,-0.511864,0.117321
0.265135,0.00741258,0.143966,0.189539
0.432788,0.000467896,0.140868,0.295089
0.212984,-0.0386783,0.131879,0.273044
0.4532,-0.30879,-0.553276,0.152569
0.731147,-0.0550092,-0.832435,-0.0885202
0.252354,0.0359056,0.146601,0.343476
0.145817,-0.106465,0.0501413,0.261559
0.359312,-0.289051,-0.510986,0.0663736
-0.191205,0.0280845,0.141114,0.216802
-0.851787,0.0195561,0.0801282,0.234779
0.636652,0.0288286,0.221237,0.0906149
0.195399,0.0312213,0.0224966,0.339965
0.966745,-0.231378,-0.4581,-0.317508
0.651293,-0.0368826,0.0504616,0.269594
-0.804486,0.0236089,0.136282,0.288726
-0.639264,-0.0222774,0.0446447,0.25722
0.246444,-0.184018,0.124481,0.0689923
0.612576,-0.0394196,-0.13441,0.235622
0.736245,-0.194904,0.174633,-1.49961
0.718279,0.029041,0.198966,0.254663
1.04752,-0.00341348,0.143044,-0.323846
0.394066,-0.350027,-0.419567,0.209203
1.50393,-0.337111,0.0882519,-0.334224
0.524375,0.0291793,-0.228457,0.368153
0.510626,-0.259068,-0.0517527,0.172
0.712829,-0.0188939,0.111688,0.232701
0.368027,-0.899784,-2.36747,-0.354361
0.499979,-0.628665,-0.802358,0.128176
0.909374,-0.421493,-0.753024,0.108299
-0.00498746,0.088078,0.11877,0.169049
0.584928,-0.038708,0.142611,0.0471744
-0.0424285,0.0699503,0.136647,-0.0560937
0.457288,0.0353673,0.173802,-0.561475
0.318614,-0.833899,-0.0759945,-0.112859
0.938514,0.0183732,0.0976026,-0.599735
0.465587,-0.0185364,0.0836085,0.134985
1.20727,-0.313187,-0.449881,-0.248659
0.538142,-0.473734,-0.132007,-0.0779703
0.453508,0.0445943,0.125893,0.348019
0.288121,-0.350775,-0.190499,0.353678
0.507284,0.0135043,0.128784,0.199037
0.602478,-0.23936,-0.305443,-0.0191447
0.80146,-0.228116,-0.265225,0.0754213
0.162406,4.848,0.228311,0.172927
-0.762072,0.0216212,-0.0591875,0.272647
-0.64741,-0.00477643,-0.00132902,0.0258436
-0.434415,0.0174283,-0.151593,0.0731372
0.235446,-0.502744,0.223483,0.0154133
-0.0755328,0.12237,0.131827,0.176099
0.908541,-0.129252,0.145115,-0.179443
0.415885,-0.670739,-1.45492,-0.0470666
0.714908,0.0191804,0.159374,0.325556
0.160932,0.0489972,0.201752,0.325597
0.865902,0.0356535,-0.0675459,0.224743
0.532548,0.045178,0.131671,0.474217
-0.19887,0.0556973,0.10232,0.362695
0.518801,-0.202987,-0.767767,0.200981
0.156173,-0.0982375,0.134298,-0.120669
0.224376,-0.538579,0.126158,0.183751
0.445433,-0.131341,0.115625,0.25811
0.259187,0.046123,0.123912,0.326395
0.673961,0.0834043,0.0964232,0.0794509
0.317691,0.0275112,0.153781,0.343914
-0.228876,-0.0105743,0.194994,0.278909
0.466719,0.0391368,0.0942263,0.331013
0.45323,0.0147811,0.100788,0.300814
0.508161,0.0132206,0.0490448,0.242538
0.317747,0.0362797,0.149609,0.229029
1.0127,0.0573208,0.112842,0.364136
0.209916,-0.300561,-0.0126205,0.04275
1.25156,0.0585943,0.125987,0.287912
-0.956356,0.0117546,0.00230946,0.261891
0.351152,-0.659741,0.0727089,-0.125759
0.473498,0.0665043,0.130327,0.280633
-0.160235,0.0418095,0.150146,0.446602
0.83636,0.0200612,0.151881,0.170458
0.93142,-0.259017,-1.1987,0.0235518
-0.269228,0.0272143,0.221009,-1.47372
0.577293,0.0455393,0.153685,0.132261
0.0569913,0.035578,0.134929,0.160017
0.425423,-0.560566,-0.457317,0.0832356
0.407652,-0.164836,0.0310409,0.370085
0.536855,-0.129041,-0.0403095,0.173545
-0.417093,-0.36036,-0.65932,-0.236977
0.786344,0.0158435,0.0927433,0.364011
-0.670438,-0.513484,-0.0669579,-0.245628
0.596535,0.0575183,0.142666,0.37636
0.358757,0.0769118,0.0926941,0.181028
0.0417629,0.136752,-0.767976,0.127896
0.223564,-0.483324,-0.152884,0.240241
0.36568,0.0391,0.148958,0.262029
-0.273949,-0.524325,-0.281638,-0.0516152
0.5478,0.0478839,0.115995,0.233814
0.695713,-0.147058,0.105059,0.304771
0.984257,0.0344247,0.11381,0.411942
0.125367,-0.149389,0.037644,0.365233
0.641383,-0.0733257,0.0467609,0.0664515
0.794829,-0.0296014,0.0782981,-0.0298367
-1.39401,-0.474399,0.130733,0.232764
0.547681,-0.253411,-0.29363,0.318546
0.36935,-0.369097,0.120127,0.12702
0.475362,0.0520879,0.119414,0.312356
0.33353,-0.279412,0.0799635,0.330529
1.49332,-0.326517,-0.0490349,-0.546152
-0.113812,0.00867788,0.151441,-1.88697
0.420642,-0.160001,-0.266185,0.0036191
1.13696,-0.132421,-0.0170924,0.0266889
0.710748,0.01675,0.0462642,0.292621
0.669931,-0.353622,-0.473947,0.119624
0.380785,-0.250872,-0.430861,-0.239152
0.401083,-0.0534039,-0.215436,0.363074
-0.121949,0.032962,0.103262,0.396743
0.266757,0.0564512,0.128606,0.238111
0.468772,0.040156,0.141368,0.314581
0.317028,-0.331403,-0.236632,0.0172733
-0.149671,-0.590688,-1.82473,-0.0957371
0.924608,-0.273744,0.0731676,0.376198
-0.157284,0.00401426,0.0522492,-1.73673
1.12574,-0.102155,0.164499,-0.583868
0.661793,-0.467309,-0.323201,-0.249818
0.289492,0.182426,0.205005,0.201011
-0.442307,0.0213446,0.149904,0.211193
0.895366,0.0262836,0.108485,0.154414
0.790402,-0.268361,-0.280002,0.444721
0.736559,-0.210785,-0.397421,-0.195249
0.967648,-0.0119277,0.204348,-0.144219
0.412312,-0.0226028,-0.0158487,0.351793
0.208252,-0.223232,-0.380523,-0.00937623
-0.244961,-0.0568907,0.14216,0.162016
0.371546,-0.352287,-0.729607,0.0871523
0.565779,0.0502361,0.13726,0.393352
-0.395552,-0.00220577,0.11202,0.0921187
0.261744,0.132075,0.206625,0.206693
0.462961,0.00423334,0.12964,0.216141
0.833644,-0.0165692,0.164788,0.017365
0.226809,-0.128771,0.144322,0.0567475
0.740739,-0.17817,-0.0609558,0.225619
0.128052,-0.0307462,-1.02914,0.152358
0.695082,-0.58324,-1.09834,-0.0412576
0.426684,-0.129283,0.129815,-0.152194
0.150944,-0.729107,-0.296008,-0.341689
0.819974,-0.268675,0.00453981,-0.0689913
0.0147137,0.0301258,0.124576,0.256665
0.463076,-0.0866043,-0.182492,0.239709
-0.0128728,0.39563,-0.973295,0.0677023
0.39203,-0.0320094,-0.0410017,0.265829
0.295077,0.0518674,0.103363,0.313892
0.767064,0.0455002,0.0149185,0.204563
0.987851,-0.162953,-0.0734909,-0.0197815
0.11793,-0.546428,-1.83364,0.256283
-0.327794,0.0173827,-0.0343345,0.130629
0.318111,-0.187806,-0.212541,0.287075
0.685124,0.0443263,0.140673,0.250742
0.875504,-0.287537,0.0018422,-0.921848
1.64502,-0.0371619,0.0249387,0.00129558
0.589333,-0.0496787,0.19921,0.17884
0.276377,-0.601005,-1.09194,-0.00837928
0.0433499,-0.600195,-2.03218,-0.154528
0.324339,0.0349994,0.157529,0.156655
0.123765,0.0113205,0.112661,-0.0205754
0.683846,-0.413258,0.0410395,0.06333
0.707389,-0.32303,-0.468229,0.251563
0.325555,-0.325257,0.0381128,0.285894
0.395615,-0.0151297,0.0887622,0.208898
0.225338,0.128731,0.241735,0.119251
0.945954,0.0350748,0.0838703,-0.0701386
0.543073,-0.0692557,-0.128884,0.248405
