Bins,OverlapQ,OverlapT,OverlapTheta,OverlapPhi
1,0.477265,0.741007,0.67696,0.600963
2,0.48262,0.741093,0.681429,0.60195
5,0.477355,0.739442,0.690881,0.605842
10,0.470657,0.742812,0.703059,0.613276
20,0.470624,0.752653,0.711353,0.621336
25,0.468647,0.765127,0.717179,0.633803
50,0.464691,0.803994,0.739279,0.655335
100,0.50111,0.821587,0.790513,0.700525
