PMTBaryTheta,PMTAvgDist,PMTAvgT,PMTQtotal,PMTQtotalClustered,PMTHits,PMTFracQmax,PMTFracQdownstream,PMTFracClustered,PMTFracLowQ,PMTFracEarly,PMTFracLate,PMTRMSTheta,PMTVarTheta,PMTRMSThetaBary,PMTVarThetaBary,PMTRMSPhi,PMTVarPhi,PMTRMSPhiBary,PMTVarPhiBary,PMTFracLargeAnglePhi,PMTFracLargeAngleTheta,PMTHitsLargeAnglePhi,PMTHitsLargeAngleTheta,LAPPDBaryTheta,LAPPDAvgDist,LAPPDQtotal,LAPPDAvgT,LAPPDHits,LAPPDRMSTheta,LAPPDVarTheta,LAPPDRMSThetaBary,LAPPDVarThetaBary,MCTrueMuonEnergy,MCTrueNeutrinoEnergy,EventNumber,MCNeutrons,MCVDistVtxWall,MCHDistVtxWall,MCVDistVtxInner,MCHDistVtxInner,MCPMTFracRing,MCPMTFracRingNoWeight,MCLAPPDFracRing,MCPMTVarTheta,MCPMTRMSTheta,MCPMTBaryTheta,MCPMTRMSThetaBary,MCPMTVarThetaBary,MCLAPPDVarTheta,MCLAPPDRMSTheta,MCLAPPDBaryTheta,MCLAPPDRMSThetaBary,MCLAPPDVarThetaBary,MCNRings,MCMultiRing,MCPDG
0.151976,1.32546,8.03531,1710.15,0.0,31,0.109572,0.991734,0.0,0.41935500000000003,0.0,0.06451609999999999,0.8752530000000001,0.659194,0.741494,0.278531,3.32435,3.20161,0.772804,0.303489,0.225806,0.193548,7,6,0.776695,1.27015,21,4.06494,21,0.7785340000000001,0.7785340000000001,0.032994,0.00108861,542.15,-999,72,0,0.9766809999999999,0.595896,1.6169,0.659146,0.942371,0.8064520000000001,1.0,0.45920600000000006,0.640419,0.015819,0.626787,0.278531,0.521329,0.521329,0.519836,0.0219678,0.000482583,1,0,13
0.170769,1.32326,7.0593699999999995,1589.7,1550.17,25,0.18093499999999998,1.0,0.975131,0.36,0.0,0.08,0.773452,0.582869,0.618664,0.186057,2.92331,3.06357,0.562493,0.19325499999999998,0.04,0.12,1,3,0.058360699999999995,1.33114,166,6.380380000000001,166,0.372775,0.372775,0.334334,0.11177899999999999,640.304,-999,142,0,1.20803,0.7041310000000001,1.33081,0.8240959999999999,0.975131,0.88,0.987952,0.463071,0.6113930000000001,0.08221569999999999,0.5358069999999999,0.186057,0.33505999999999997,0.33505999999999997,0.146208,0.222748,0.0496168,1,0,13
0.459794,1.3793600000000001,9.00473,1956.2,1536.76,49,0.05236849999999999,0.955583,0.7855880000000001,0.469388,0.0,0.20408199999999999,1.0914700000000002,0.9955450000000001,0.692756,0.352468,3.5661,3.46947,0.886589,0.598377,0.265306,0.183673,13,9,0.0727831,1.3443200000000002,87,9.180589999999999,87,0.663474,0.663474,0.595422,0.354527,371.43699999999995,-999,139,0,0.86845,0.458222,1.4026,0.44933,0.774518,0.673469,1.0,0.605715,0.690577,0.0204954,0.672025,0.352468,0.475128,0.475128,0.244182,0.263364,0.0693605,1,0,11
0.157599,1.28433,6.08354,1580.68,0.0,20,0.259567,1.0,0.0,0.3,0.05,0.05,0.639476,0.501397,0.49158599999999997,0.128335,3.05574,3.02247,0.43723999999999996,0.118995,0.0,0.0,0,0,0.590726,1.52651,2,2.62375,2,0.590767,0.590767,0.00860797,7.41e-05,1037.59,-999,229,0,0.8374090000000001,0.9341,1.34114,1.1745700000000001,0.9540850000000001,0.75,1.0,0.444234,0.5885100000000001,0.04875209999999999,0.542222,0.128335,0.5559930000000001,0.5559930000000001,0.555968,0.005222600000000001,2.72756e-05,1,0,13
1.3562100000000001,1.3359,6.10234,628.148,0.0,14,0.362638,0.615319,0.0,0.785714,0.28571399999999997,0.07142860000000001,1.18496,1.43967,0.5143989999999999,0.18063900000000002,4.19607,4.5073,0.700421,0.263689,0.214286,0.07142860000000001,3,1,0.11603499999999999,1.3600700000000001,8,9.87577,8,0.439191,0.439191,0.35684499999999997,0.127338,292.961,-999,481,0,0.997826,0.387481,1.6587599999999998,0.341521,0.977957,0.9285709999999999,0.5,0.5213180000000001,0.59949,0.14460599999999998,0.48,0.18063900000000002,0.739526,0.739526,0.699963,0.156945,0.0246317,1,0,13
0.752109,1.42878,8.37582,63.0593,18.7462,4,0.297279,1.0,0.297279,1.0,0.0,0.0,0.9277549999999999,0.935695,0.257608,0.07053469999999999,2.88859,2.81697,0.573194,0.3128,0.0,0.0,0,0,0.812186,1.2772,63,2.67559,63,0.822893,0.822893,0.0531201,0.00282175,225.47799999999998,-999,87,0,0.7829659999999999,0.405432,1.2333399999999999,0.36887800000000004,1.0,1.0,1.0,0.48092299999999993,0.486575,0.153195,0.335922,0.07053469999999999,0.420732,0.420732,0.412308,0.0316725,0.00100315,1,0,13
0.605449,1.3711799999999998,9.09074,5030.73,4130.72,45,0.15625799999999998,0.974457,0.821097,0.511111,0.0,0.333333,1.27473,0.796122,0.780521,0.136206,3.2768599999999997,3.24841,1.25434,0.347446,0.4,0.22222199999999998,18,10,0.44746400000000003,1.43622,620,6.2018699999999995,620,0.509494,0.509494,0.18813,0.0353928,1106.45,-999,179,0,0.7790279999999999,0.694804,1.22554,0.8098810000000001,0.8800180000000001,0.4,0.959677,0.558679,1.05985,0.0787446,0.9930209999999999,0.136206,0.251431,0.251431,0.0965643,0.201799,0.040723,1,0,11
0.14261500000000002,1.28871,6.713710000000001,1676.61,1658.55,25,0.11928499999999999,1.0,0.9892280000000001,0.32,0.0,0.0,0.723278,0.566778,0.590334,0.191005,3.322,3.21971,0.548795,0.184273,0.04,0.12,1,3,0.07829889999999999,1.31063,181,6.23698,181,0.369668,0.369668,0.32292,0.104277,1107.77,-999,238,0,1.04395,0.760915,1.6556799999999998,0.910634,0.9313629999999999,0.72,0.983425,0.46115,0.588069,0.042136,0.548499,0.191005,0.315363,0.315363,0.09440939999999999,0.24760500000000002,0.061308,1,0,13
0.857611,1.4294799999999999,7.146780000000001,3294.34,2275.08,33,0.131616,0.9965459999999999,0.690603,0.363636,0.0606061,0.0909091,1.06036,0.9349870000000001,0.4179,0.0885219,3.28945,2.8096200000000002,0.978317,0.281775,0.24242399999999997,0.030302999999999997,8,1,0.36004899999999995,1.38046,71,7.4337,71,0.565187,0.565187,0.279296,0.0780065,767.502,-999,126,0,0.752302,0.603174,1.17262,0.670237,0.8782139999999999,0.454545,0.8591549999999999,0.542505,0.818699,0.17518699999999998,0.660745,0.0885219,0.587888,0.587888,0.456858,0.21891799999999997,0.047925199999999994,1,0,11
0.86618,1.40277,9.18598,3882.79,3447.59,52,0.134937,0.9470149999999999,0.887914,0.538462,0.0,0.403846,1.21319,1.0951600000000001,0.5302020000000001,0.182041,2.80146,2.4155,1.08175,0.4152,0.307692,0.134615,16,7,0.279449,1.3380299999999998,133,8.36178,133,0.575747,0.575747,0.371361,0.137909,695.804,-999,145,0,0.777061,0.5612699999999999,1.22165,0.606375,0.8616790000000001,0.442308,0.962406,0.556971,0.873361,0.13677,0.751478,0.182041,0.5026930000000001,0.5026930000000001,0.399098,0.22875500000000001,0.0523288,1,0,11
