plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,100,7483,1226,0.8592260879549891,0.003726753533195023
overall,380,14140,1380,0.9110824742268041,0.0022846868001357413
overall,660,8191,530,0.9392271528494439,0.0025583323825734217
overall,940,4581,264,0.9455108359133126,0.003260929707307455
overall,1220,2641,160,0.9428775437343806,0.004385049787718699
overall,1500,1733,82,0.9548209366391185,0.0048751868280772995
overall,1780,1194,57,0.9544364508393285,0.005895947757475173
overall,2060,872,48,0.9478260869565217,0.007331572273483706
