plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
electron,100,4092,987,0.8056704075605434,0.005552122882822397
electron,380,4771,808,0.8551711776303997,0.004711680645048052
electron,660,3611,317,0.9192973523421588,0.0043459643217191365
electron,940,2463,135,0.9480369515011547,0.0043545208070052905
electron,1220,1584,79,0.952495490078172,0.0052161822918964425
electron,1500,1058,41,0.9626933575978162,0.005716605510060306
electron,1780,789,26,0.9680981595092024,0.006155860399372378
electron,2060,590,15,0.9752066115702479,0.006321768284887341
