plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,10,8683,1376,0.8632070782383935,0.003426193645238747
overall,20,11939,1092,0.916199831171821,0.0024273291874631077
overall,30,9140,525,0.9456802897051215,0.0023054194988182054
overall,40,4984,141,0.9724878048780488,0.002284850392349377
overall,50,2658,24,0.9910514541387024,0.0018184231383308656
overall,60,1627,4,0.9975475168608215,0.0012247369781396339
overall,70,1050,0,1.0,0.0
overall,80,685,0,1.0,0.0
overall,90,493,0,1.0,0.0
