probability,efficiency,purity,rel_uncertainty,efficiency*purity,efficiency*purity**2
0.0,1.0,0.5001451285193665,0.013905887170918263,0.5001451285193665,0.2501451495816537
0.01,0.9978720660304359,0.5328489773431582,0.013338899891781603,0.5317151099036221,0.28332385255005
0.02,0.9956796492133093,0.5579807032125176,0.012937138709712453,0.5555700308424352,0.30999735649326204
0.03,0.994003095176683,0.5776220631768276,0.01263903313224138,0.5741581186401081,0.33164639707862503
0.04,0.992004126902244,0.5943899234989568,0.012398298156514295,0.5896372571000743,0.3504744441398479
0.05,0.9901986071704927,0.6085199128194967,0.012202871806649116,0.6025555701093752,0.36666706299185914
0.06,0.9883286045911788,0.6208027866661266,0.012039481339573176,0.6135571518720482,0.3808979896610994
0.07,0.9871034304874903,0.6325881234761767,0.011883104874906977,0.624429906768978,0.39500694296539174
0.08,0.9858782563838019,0.6439371604262308,0.01173623030161323,0.6348436449417489,0.4087994140384281
0.09,0.984717565127676,0.6551546612896306,0.011593925751827255,0.6451423028471724,0.42266798690545154
0.1,0.9831054939386124,0.6654445462878094,0.011469234156838197,0.6542021893670326,0.4353352790838365
0.11,0.9814934227495486,0.6757980730808507,0.011346111319342057,0.6632913638356738,0.4482510255713178
0.12,0.9802682486458602,0.684220001800342,0.01124717345998209,0.6707191428532886,0.458919453130601
0.13,0.9789141088470467,0.6938299817184643,0.011135843887087559,0.6791999582452932,0.4712492946125135
0.14,0.9777534175909208,0.7007255418457415,0.011058186468519313,0.6851367933329235,0.4800928507466667
0.15,0.9762703120969822,0.7065192029492744,0.010996514976753385,0.6897537227657993,0.4873242504397873
0.16,0.9737554810420428,0.7108025417745352,0.010959289022042759,0.6921478709915692,0.4919804659846404
0.17,0.9714340985297911,0.7148958382764675,0.010923535202311964,0.6944741941987995,0.4964767112231251
0.18,0.9700799587309775,0.7188112188828898,0.01088472541612564,0.6973043575492773,0.5012301951823465
0.19,0.9684678875419138,0.7232147156546443,0.010841885050733243,0.7004102279092793,0.5065469838190141
0.2,0.9672427134382254,0.7268498328245384,0.010806171076442076,0.703040204563327,0.5110046551557835
0.21,0.9659530564869745,0.7299483481142189,0.010777268929565055,0.7050958379385478,0.514683542165454
0.22,0.9644054681454733,0.7323833308848734,0.010757640253495552,0.7063144890839674,0.5172929581675636
0.23,0.9628578798039722,0.7358564951705105,0.010726119579706093,0.7085252247798597,0.5213728886464057
0.24,0.9616971885478462,0.7386093502377179,0.010700900693257654,0.7103185355587648,0.5246479120108666
0.25,0.9595692545782821,0.7413071634950682,0.010681806917953432,0.7113355622885033,0.5273181479732597
0.26,0.9575058034562807,0.7437515652391685,0.010665352573054687,0.7121464400461964,0.5296600294638603
0.27,0.9560871808099045,0.7468016520600382,0.010638505637536252,0.7140074861422612,0.5332219702342755
0.28,0.9543461439257157,0.7494429815677537,0.010618216908412536,0.7152280195513769,0.5360226194733836
0.29,0.9529920041269022,0.7518823768823769,0.01059815532751417,0.7165378932128352,0.5387522142751573
0.3,0.9511220015475883,0.7543599447655092,0.010580616230453914,0.7174883405526993,0.5412444649492311
0.31,0.9488651018828992,0.756283085778897,0.010571544526408655,0.7176106272399065,0.5427167795567264
0.32,0.9472530306938355,0.7584284165418969,0.010556444914897278,0.7184236161336385,0.5448728855905389
0.33,0.9458988908950219,0.760642986777288,0.010539197118734042,0.7194913575597135,0.5472760551746662
0.34,0.943899922620583,0.7626341565072419,0.010528101521671294,0.7198503213149992,0.5489824426075314
0.35,0.9415785401083312,0.7652638750589592,0.010511756665853935,0.7205560422756592,0.5514155091090182
0.36,0.939321640443642,0.7681396329888209,0.01049241825776403,0.7215301801488364,0.5542359277698851
0.37,0.9377095692545783,0.7702330508474576,0.010478238107240743,0.7222549023358091,0.5563045969156428
0.38,0.9351947381996389,0.7720932708688245,0.01047174076686162,0.7220575643158732,0.5574957865882192
0.39,0.9326799071446995,0.774262619774102,0.010461895130940346,0.7221391883165212,0.5591253797874933
0.4,0.9302940417848852,0.776187658040566,0.010454085122267,0.7220827535821025,0.5604717214143753
0.41,0.9274567964921331,0.7783429839277017,0.010446345825847681,0.7218794904457141,0.561869836629726
0.42,0.9250709311323188,0.7811172819340085,0.01042935434570011,0.7225888913222392,0.5644266707453363
0.43,0.922040237296879,0.7829920052568174,0.010425939936971518,0.721950134328555,0.565281183373344
0.44,0.918751612071189,0.7847111306933965,0.010425764253361072,0.7209546163347635,0.5657411121626762
0.45,0.9158498839308744,0.7865212094362609,0.01042247428590962,0.7203353583713705,0.5665590372659528
0.46,0.9132060871808099,0.7884861644674572,0.010416093158924318,0.7200503650495311,0.5677497505612972
0.47,0.9095950477173071,0.790695067264574,0.010412654482961208,0.7192123174383596,0.5686776317144339
0.48,0.9062419396440546,0.7927572202166066,0.010409436749881833,0.7184298409159264,0.5695404436051688
0.49,0.9032112458086149,0.7948135958690348,0.010404516513062855,0.7178845781104959,0.5705844229469282
0.5,0.8998581377353624,0.7965182648401826,0.010405356442453486,0.7167534424712889,0.5709072083154587
0.51,0.895344338405984,0.798493300362298,0.010410090811255391,0.7149264557344924,0.5708639851557552
0.52,0.8919912303327315,0.8008916164891153,0.010403612250759494,0.7143882983552962,0.5721475990706816
0.53,0.8882512251741037,0.8025986132960438,0.01040698364620078,0.7129092015832476,0.5721799365967042
0.54,0.8843822543203508,0.8042101559751378,0.01041225385103096,0.7112291906886132,0.5719777383777607
0.55,0.8796750064482848,0.8059789672692899,0.010420897196883714,0.7089995532297945,0.5714387277065377
0.56,0.8750322414237812,0.808171044011673,0.010424744014895222,0.7071757200953315,0.5715189400091506
0.57,0.8701315450090276,0.8095752339812815,0.010438834610737347,0.7044369491451775,0.5702947079292672
0.58,0.8651018828991488,0.8117134559535334,0.010445943972185363,0.7022148391199771,0.5699972338839311
0.59,0.8584601496002063,0.8138027996821322,0.010463594273976631,0.69861727316019,0.5685366928040595
0.6,0.8525922104720144,0.8157699901283317,0.010478173671055465,0.6955191391202478,0.5673836412541903
0.61,0.8469822027340728,0.8185330591387798,0.01048280811351358,0.6932829334400228,0.567475000357369
