plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
electron,0,115,12,0.905511811023622,0.025955772668249437
electron,300,176,39,0.8186046511627907,0.02628033806173808
electron,600,198,44,0.8181818181818181,0.024793388429752067
electron,900,240,47,0.8362369337979094,0.021843976705108233
electron,1200,277,39,0.8765822784810127,0.01850297508870037
electron,1500,288,35,0.891640866873065,0.017295235603982315
electron,1800,291,27,0.9150943396226415,0.015631033598658788
electron,2100,264,12,0.9565217391304348,0.012275210925506085
electron,2400,247,13,0.95,0.013516371839081215
electron,2700,233,7,0.9708333333333333,0.010862007990817931
electron,3000,214,5,0.9771689497716896,0.010093126503715936
electron,3300,208,2,0.9904761904761905,0.006702205243323779
electron,3600,179,2,0.988950276243094,0.00777004709336829
electron,3900,144,0,1.0,0.0
electron,4200,119,0,1.0,0.0
electron,4500,81,0,1.0,0.0
electron,4800,64,0,1.0,0.0
electron,5100,57,0,1.0,0.0
electron,5400,64,0,1.0,0.0
