plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
electron,10,377,95,0.798728813559322,0.01845523075623175
electron,20,811,81,0.9091928251121076,0.009620677462602652
electron,30,881,46,0.9503775620280475,0.007132590139253505
electron,40,706,15,0.9791955617198336,0.00531551175580425
electron,50,409,6,0.9855421686746988,0.005859561733409708
electron,60,201,0,1.0,0.0
electron,70,96,0,1.0,0.0
electron,80,27,0,1.0,0.0
electron,90,5,0,1.0,0.0
