pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
32,1819.67,8.13814,0.391841,0.913026,0.497418,0.457536,-0.260139,0.574681,0.149799,0.107208,0.0256109,0.575689,0.184696,0.115181,0.994096,1,0.34375,0.125,0,0.125,0.03125,148,7.63649,0.190521,0.545805,0.297904,0.205266,-0.119228,0.395926,0.156758,0.0787901,-0.0298211,7,6,2,1,1.16667,0,0,0,1,0,1028.59,866,447
24,1652.86,7.27139,0.354389,0.950174,0.444693,0.508506,0.306595,0.683684,0.158417,0.210157,0.351144,1.03677,0.498326,0.214109,0.983615,1,0.541667,0.0833333,0.125,0.0833333,0.291667,64,6.23245,0.409015,0.691233,0.477802,0.351691,-0.42061,0.314852,0.0991315,0.0319417,-0.0156797,11,10,0,1,1.1,0,0,0,1,0,1086.12,224,134
14,1186.28,5.02012,0.868148,0.836071,0.911152,0.974887,-1.40658,0.370731,0.0934679,-0.00619831,-0.00785198,1.08073,0.774372,0.43289,1,1,0.357143,0,0.285714,0,0.642857,41,6.28806,0.427996,0.620367,0.384855,0.290514,-0.221446,0.33287,0.110803,0.0115053,-0.0222625,0,0,0,0,0,0,0,0,1,0,469.358,232,138
15,1320.66,5.0347,0.993267,0.984301,1.10322,1.26192,-2.162,0.334057,0.0819904,-0.0139547,-0.00250377,0.961708,0.654215,0.269571,1,1,0.266667,0,0.266667,0,0.6,16,6.61935,0.521931,0.705046,0.49709,0.369937,-0.457752,0.218275,0.047644,0.0145575,-0.00219181,12,10,0,1,1.2,0.203,0.0406,0,1,0,1160.52,475,268
42,2158.17,8.83099,0.705547,1.12379,1.03624,1.33678,-1.31335,0.572196,0.232159,0.170012,0.0204016,0.636955,0.314081,0.0750641,0.932467,1,0.357143,0.285714,0,0.142857,0.0952381,177,7.90605,0.570536,0.70238,0.493337,0.372586,-0.44502,0.238296,0.0567851,-0.00535335,-0.00148415,6,6,4,1,1,0,0,0,1,0,909.105,588,330
18,1455.88,5.92,0.121757,0.615856,0.246412,0.142627,-0.092496,0.501529,0.146952,0.0716873,-0.0258389,0.441811,0.135275,0.254663,1,1,0.222222,0.0555556,0.111111,0.0555556,0,148,5.45677,0.110444,0.365565,0.133638,0.0881329,0.00735579,0.302782,0.0916772,0.0514793,0.00539202,8,6,0,1,1.33333,0.0765,0.0338333,0,1,0,880.207,750,413
15,953.263,4.85972,0.852861,0.932656,0.903663,1.00047,-1.28584,0.342385,0.11852,0.00297699,-0.0186765,0.493921,0.203154,0.17747,1,1,0.266667,0,0.0666667,0,0,53,5.15755,0.693739,0.766167,0.587013,0.46282,-0.666715,0.157106,0.0246824,-0.00677623,0.00309319,0,0,0,0,0,0,0,0,1,0,486.24,796,435
16,1603.73,5.11913,0.415639,0.782689,0.367557,0.291626,-0.13072,0.46074,0.0804763,0.0481975,0.0222529,0.550428,0.14253,0.200768,0.993742,1,0.1875,0,0.1875,0.0625,0.0625,128,6.10518,0.299413,0.578524,0.33469,0.238389,-0.161199,0.354155,0.125426,0.0451627,-0.0233801,6,5,3,1,1.2,0,0.169167,0,1,0,682.927,815,448
24,1665.8,6.90249,1.04154,1.21693,1.29654,1.73083,-2.49546,0.500072,0.146727,0.0409368,0.0395846,0.91442,0.465861,0.13632,0.946807,1,0.166667,0.0833333,0.0416667,0.0416667,0.166667,38,8.35082,0.465485,0.65091,0.423684,0.295636,-0.326732,0.235423,0.0554238,0.0115395,-0.00360083,4,3,2,0,1.33333,0,0.1015,0,1,0,610.798,37,13
23,1448.11,7.45613,1.08747,1.30127,1.42971,1.99831,-3.11902,0.514609,0.169966,0.0319292,0.000645744,0.892053,0.335741,0.133881,0.872318,1,0.304348,0.0869565,0.0434783,0.0869565,0.0869565,34,7.54618,0.688228,0.738303,0.545092,0.418661,-0.567889,0.174267,0.0303691,-0.0124191,0.00534713,0,0,0,0,0,0,0,0,1,0,528.647,156,84
