131,3758.11,9.56379,1.14344,1.6821,1.96816,3.24014,-5.89598,0.754975,0.279373,0.132757,-0.0145709,41,9.19974,0.302388,0.558012,0.311377,0.213808,-0.138094,0.32994,0.108861,0.0370211,-0.0159571,0.0488267,0.69374,0,0,0,0,533.773,231
74,223.376,9.87648,1.39036,1.76015,2.56729,4.86726,-9.68144,0.664225,0.307709,0.215179,0.0426593,3,7.04434,0.331188,0.798041,0.636869,0.511006,-0.805337,0.467879,0.218911,0.104032,-0.0938395,0.20539,0.61647,0,0,0,0,954.498,256
103,1089,9.894,1.00818,1.58087,1.63691,2.59131,-3.54725,0.760116,0.296023,0.180561,0.00207113,21,7.44845,0.32463,0.633936,0.401875,0.288377,-0.271853,0.35776,0.127992,0.0474667,-0.0256748,0.1086,0.770495,0,0,0,0,192.424,39
129,8050.44,12.6371,1.41051,1.6649,2.70456,5.56847,-9.28058,0.636689,0.456212,0.28415,0.00181337,96,11.4224,0.248886,0.545411,0.297473,0.213429,-0.107661,0.370649,0.137381,0.0587939,-0.0243995,0.104327,0.645755,0,0,0,0,1201.34,352
136,6795.7,12.7966,0.570479,1.67978,1.0765,1.5894,-0.688824,1.16937,0.364797,0.448884,0.294541,803,6.44813,0.668785,0.744778,0.554695,0.428942,-0.588749,0.174065,0.0302986,-0.00834553,0.00352785,0.150759,0.917959,9,6,3,0,2296.28,118
136,8507.5,10.421,0.737449,1.6797,1.66513,3.04829,-1.92743,1.03192,0.564213,0.782776,0.383785,270,8.78,0.290664,0.5578,0.311141,0.212009,-0.141317,0.337183,0.113693,0.0390618,-0.0189415,0.0671583,0.797589,2,1,0,0,1518.96,338
134,10102.1,12.2846,1.01749,1.686,1.60693,2.50717,-3.4588,0.831803,0.279033,0.155439,0.0106775,237,9.34154,0.0501526,0.600684,0.360821,0.251811,-0.208331,0.555529,0.308612,0.201514,-0.148819,0.0520841,0.823402,0,0,0,0,1073.48,198
133,8610.29,12.9653,1.00098,1.68864,1.63555,2.64525,-3.3294,0.845462,0.32154,0.208211,-0.0104137,113,10.8203,0.135366,0.628799,0.395388,0.29177,-0.249453,0.512064,0.262209,0.159486,-0.106447,0.116941,0.792227,0,0,0,0,1131.04,281
130,2726.23,10.5238,1.90093,1.68486,3.29597,6.73418,-18.3193,0.704321,0.402076,-0.375879,0.0698323,23,11.3828,0.247949,0.602069,0.362487,0.251361,-0.214241,0.389727,0.151887,0.0676745,-0.0345225,0.270624,0.334017,0,0,0,0,1131.04,361
61,839.952,10.1423,2.43231,1.80956,5.7762,14.307,-64.2115,1.01926,0.159605,-0.154601,0.18782,1,11.1613,0.727325,0.727325,0.529001,0.384756,-0.559685,0,0,0,0,0.369806,0.0400449,0,0,0,0,123.34,266
136,11335.8,11.9228,0.947808,1.67978,1.54622,2.35367,-3.21927,0.873601,0.275232,0.189818,0.0461307,207,9.04898,0.208943,0.617384,0.381163,0.270348,-0.238766,0.435128,0.189337,0.0961067,-0.0552163,0.128927,0.827115,4,2,0,0,2783.59,102
134,6537.27,10.4848,1.02225,1.68341,2.73189,5.99801,-7.96382,0.826833,0.809478,1.1019,-0.0467715,132,10.5867,0.19577,0.605773,0.366961,0.264447,-0.207374,0.441527,0.194946,0.103191,-0.0547576,0.102043,0.653309,0,0,0,0,246.115,398
