nrings,energy,evnum,mcevnum
2,718.879,730,414
2,548.399,857,489
2,952.389,310,172
2,778.4,93,56
2,957.182,249,141
2,807.437,310,168
2,625.148,364,201
2,988.243,366,202
3,1285.19,586,338
2,618.841,767,441
3,653.782,47,20
2,612.793,241,143
2,633.364,733,379
2,635.094,803,417
2,971.872,930,491
3,1136.6,320,179
2,628.594,570,331
3,1010.14,101,54
2,764.841,732,407
2,813.113,561,310
2,612.129,214,113
3,1012.17,234,124
2,1042.96,244,131
2,769.484,923,483
2,1135.76,906,495
2,680.973,96,50
2,588.529,150,76
2,804.428,304,164
2,593.527,597,347
2,762.886,717,420
2,620.653,788,458
3,671.458,160,85
2,794.067,722,392
2,647.038,507,293
2,752.648,509,294
3,880.059,219,106
2,890.378,244,121
2,581.265,384,212
2,606.347,885,495
2,427.621,309,173
2,613.871,598,330
2,558.129,248,133
2,692.288,734,392
3,571.324,136,68
4,1110.52,396,203
2,585.822,638,325
2,743.669,531,277
2,510.093,539,280
3,740.914,855,461
2,867.495,807,426
3,702.543,167,95
2,628.466,85,45
2,818.318,123,65
2,1020.86,434,246
2,1056.52,809,449
2,1105.09,785,403
3,902.338,205,121
2,645.265,429,252
2,834.506,632,355
2,565.753,140,80
2,699.27,318,181
2,869.683,451,250
2,889.843,473,261
2,1028.84,827,429
2,1071.37,566,304
12,613.814,589,312
2,1291.83,902,493
2,864.238,14,8
2,762.259,489,262
2,1260.61,899,493
3,717.444,412,203
2,691.566,582,288
3,757.938,19,8
2,1072.15,602,321
3,764.348,640,345
2,672.064,74,42
2,630.636,239,118
2,795.084,385,205
2,977.76,860,460
2,815.416,54,36
2,1092.4,124,61
2,633.053,89,40
2,877.242,720,412
2,874.127,189,99
2,694.822,872,460
2,809.979,436,250
3,873.803,510,296
2,754.119,761,435
2,764.281,91,51
2,1026.31,529,289
2,653.786,632,345
2,572.511,693,379
2,957.879,131,59
3,873.409,749,380
2,990.669,897,481
2,841.343,884,466
2,737.986,379,202
2,1010.19,627,332
3,963.318,646,345
2,1218.91,847,456
2,643.908,191,110
2,820.493,220,121
2,673.572,454,269
3,621.622,769,404
2,1291.12,273,137
2,1081.87,417,221
2,1090.12,926,499
2,953.666,99,61
2,584.859,206,123
2,705.077,315,185
5,1044.23,38,17
2,628.529,260,147
2,680.875,405,235
2,940.709,559,281
2,988.779,597,306
3,1303.16,603,309
4,981.186,737,374
2,745.754,279,149
2,848.713,376,207
4,729.691,830,460
2,787.098,399,199
2,727.873,790,439
2,666.848,895,494
2,829.502,238,134
2,769.611,804,444
2,513.77,437,234
3,696.171,334,181
2,1009.16,380,207
2,602.378,687,390
2,898.421,185,108
2,703.429,405,227
2,652.709,586,330
2,992.404,716,402
3,614.414,290,155
2,700.331,218,121
2,565.712,271,146
2,704.351,397,205
2,786.835,817,423
2,1259.12,878,448
4,1073.07,39,19
2,1098.1,639,343
3,939.715,400,230
2,1051.62,717,398
2,581.605,880,486
2,1187.13,313,168
3,644.453,401,218
2,580.375,711,384
2,1092.28,235,128
2,515.368,544,301
3,808.159,311,159
2,1014.89,752,416
2,1009.8,79,43
2,859.718,886,480
2,662.006,654,381
2,556.24,63,29
3,735.162,116,60
4,1038.53,246,139
3,972.852,749,412
2,694.517,480,280
2,882.881,370,202
2,910.057,624,338
2,755.244,328,183
3,980.273,198,107
2,1166.52,911,490
2,889.914,741,394
4,594.978,375,192
2,834.206,417,206
2,1026.39,638,324
6,1230.87,332,169
4,891.08,630,306
2,976.68,854,427
3,727.809,99,52
2,845.702,796,442
2,919.44,722,369
3,648.641,794,416
2,802.125,130,76
2,1038.27,58,37
2,951.858,151,86
2,1122.09,827,494
2,1196.23,327,164
2,690.973,930,485
2,1018.89,764,397
4,692.685,46,27
2,861.127,318,184
2,620.089,264,151
2,631.399,84,56
2,687.08,311,172
2,447.1,653,360
2,696.402,756,396
2,885.847,54,31
2,722.379,90,55
2,699.5,315,166
2,1162.58,668,366
3,647.008,759,420
2,700.075,141,77
2,1049.2,375,210
2,751.823,480,265
2,603.584,658,369
2,1060.34,493,271
2,1105.9,830,473
3,927.684,420,236
2,568.203,433,242
2,591.994,706,387
5,1099.77,780,428
3,565.652,807,438
3,841.741,168,84
2,1244.81,177,89
2,1132.87,841,453
2,765.809,227,127
2,839.356,280,151
2,581.933,399,214
2,768.503,766,424
2,1013.68,806,449
2,1045.71,817,455
2,881.531,334,187
2,807.611,476,246
2,868.411,895,472
2,801.41,373,196
2,854.365,31,15
4,681.701,737,380
2,1194.63,790,415
2,812.688,797,421
2,678.538,64,34
2,557.735,284,164
2,1308.64,352,188
2,870.187,271,159
3,895.623,340,180
3,655.983,809,420
2,1145.5,550,297
3,883.756,590,315
3,661.264,724,390
2,999.54,714,401
2,740.575,551,282
2,788.503,524,286
2,775.278,629,354
2,985.589,643,334
3,1008.56,850,436
2,740.535,261,140
2,901.311,418,216
2,995.328,69,44
3,923.514,286,173
2,681.729,212,113
3,1258.35,547,273
3,1280.27,756,387
2,1351.97,314,178
2,773.37,120,67
3,799.985,873,491
3,1042.65,203,123
5,751.648,798,463
2,826.225,381,206
3,701.614,683,393
2,720.549,477,272
2,1085.75,479,273
2,823.157,632,352
2,695.573,664,374
2,757.76,155,84
2,1214,887,465
2,1200.59,577,309
2,804.85,666,346
2,547.897,576,327
2,1303.26,85,48
2,790.929,269,149
2,562.233,15,6
2,705.89,593,346
2,1005.31,92,45
2,898.692,542,283
3,710.483,388,213
4,1040.6,651,349
2,639.833,627,333
2,1060.14,675,359
3,627.182,452,228
3,641.105,509,292
3,1050.96,693,381
2,705.798,6,4
2,712.514,649,364
2,885.77,30,12
2,828.051,557,302
2,692.974,358,185
2,681.346,527,275
2,581.965,345,172
2,598.858,89,49
2,988.828,47,27
2,795.246,699,391
2,645.886,741,404
2,558.372,903,494
3,888.088,381,183
3,1028.51,546,281
2,634.275,601,311
2,563.311,685,360
2,378.113,296,172
2,754.986,301,172
2,774.087,889,488
2,762.844,205,98
2,653.293,455,245
2,858.883,869,452
2,1120.12,676,356
2,776.014,681,390
3,532.213,764,396
2,543.595,757,428
2,655.984,715,367
2,1263.04,755,392
2,1142.24,388,203
2,770.655,64,34
2,778.53,264,143
2,805.229,31,21
2,762.189,810,460
2,725.614,877,498
2,506.054,20,9
2,645.252,788,437
2,803.04,724,388
2,970.96,229,107
2,913.452,335,168
2,544.541,287,161
2,1160.38,399,227
2,608.745,889,489
3,1127.57,911,479
2,1085.62,729,384
2,863.647,57,34
2,696.675,402,231
3,750.035,637,329
2,664.18,799,421
2,1217.35,714,407
2,892.182,756,400
3,559.451,513,282
2,498.018,15,7
2,1063.33,470,241
2,479.52,569,300
4,1276.33,865,446
3,732.225,2,1
2,1011.21,150,90
2,926.271,430,259
2,1026.62,521,282
2,716.947,9,8
2,949.671,46,32
3,866.391,240,129
2,1214.42,440,245
2,1073.14,228,119
3,638.659,255,132
7,692.089,465,235
2,732.179,360,206
3,895.202,783,449
2,994.759,478,256
2,696.906,516,276
2,805.331,200,123
2,723.788,564,334
3,770.611,602,362
2,590.155,634,380
2,896.204,511,279
2,675.358,625,336
3,1058.61,157,89
3,1015.13,345,197
3,827.058,701,394
2,1146.86,743,381
2,647.509,859,438
2,633.671,848,450
3,651.218,398,226
2,571.94,765,436
4,759.38,262,137
2,492.691,849,465
2,1292.09,20,9
2,891.107,8,5
2,1112.92,123,69
2,898.883,422,237
2,729.391,444,248
2,1079.99,908,496
2,661.048,94,44
2,669.9,198,112
2,734.557,457,256
2,992.331,577,315
3,867.663,76,42
2,602.023,138,76
2,853.385,940,499
2,926.094,185,95
2,663.454,686,387
2,1066.83,105,54
2,695.654,116,59
2,1368.52,346,188
2,954.286,570,314
2,1348.68,796,450
2,916.347,233,135
2,728.826,310,174
2,839.93,795,424
3,883.373,817,440
2,906.856,596,322
2,556.044,807,442
2,668.306,329,165
2,536.01,470,245
2,799.618,589,307
2,998.325,615,323
2,617.272,907,477
3,452.694,594,300
2,728.043,654,330
2,1188.59,775,405
2,592.5,113,61
3,576.84,379,197
3,939.853,77,42
2,916.959,584,315
2,720.102,404,218
2,606.671,884,483
2,619.934,715,382
2,1154.35,327,180
2,1099.84,669,372
2,995.353,847,482
2,858.417,662,354
3,1029.75,324,185
2,742.71,8,7
3,651.698,65,38
2,703.346,638,362
2,916.576,333,168
2,890.114,613,308
2,1124.29,570,324
4,752.021,605,345
2,709.835,678,385
2,1011.93,139,76
2,1169.09,399,210
2,961.372,382,225
2,776.635,407,233
2,739.394,427,247
2,907.36,674,377
2,594.652,433,240
2,1114.32,576,323
2,597.963,744,414
2,617.836,222,113
2,773.411,509,289
2,1067.59,80,39
3,641.281,903,474
2,875.983,848,455
2,621.71,421,234
2,905.53,834,454
2,485.552,40,22
2,934.118,755,417
2,974.675,438,251
2,717.647,184,99
5,800.54,73,37
6,655.809,106,52
2,618.57,403,211
2,965.491,629,335
2,573.435,777,411
2,467.697,833,451
2,749.729,354,183
2,1176.79,638,345
2,905.079,728,401
2,825.922,826,449
2,769.124,717,389
3,708.655,812,457
2,1246.93,413,223
2,661.681,231,132
2,997.587,4,4
4,727.755,744,412
2,811.984,234,142
2,472.949,528,306
2,595.62,479,272
2,1198.25,362,208
2,587.231,704,382
2,650.021,657,363
2,605.375,194,103
2,1077.28,338,178
2,694.683,422,225
3,645.454,96,55
2,587.303,873,471
3,578.701,925,498
2,565.367,73,34
2,729.656,370,222
2,1103.81,277,154
7,617.985,602,332
2,680.556,528,288
2,684.68,83,39
2,831.806,109,48
2,1098.85,852,462
2,653.565,881,478
2,993.959,84,44
2,714.574,419,219
3,1179.47,50,24
2,797.346,237,127
2,692.934,814,443
2,435.44,128,62
2,753.202,169,99
2,657.849,269,157
2,472.958,34,22
2,679.189,203,124
3,1133.46,263,149
2,557.607,282,161
2,467.744,620,322
2,761.775,924,488
2,743.677,478,256
4,766.235,559,303
2,763.504,873,487
2,1236.69,319,179
3,1283.75,478,269
2,897.727,516,281
2,717.237,682,378
2,1239.2,429,248
2,846.418,627,354
2,643.18,762,443
3,928.045,42,16
2,926.745,37,23
3,1084.44,238,142
2,681.105,88,50
3,702.398,750,426
2,970.968,338,184
2,1061.19,927,496
3,892.357,711,374
2,533.636,242,131
2,865.46,411,230
2,673.932,481,266
4,644.589,906,493
2,705.483,901,490
3,1106.76,228,136
2,792.932,812,469
2,801.02,559,306
2,571.141,847,468
2,531.463,94,54
2,676.76,243,131
2,900.712,675,368
2,1099.53,77,44
2,803.092,110,57
8,662.66,150,75
3,1143.88,38,22
3,1010.49,692,357
3,781.55,712,398
3,919.817,44,23
3,579.348,829,422
2,819.606,560,298
2,617.409,419,225
4,791.808,463,265
2,939.77,540,304
4,1266.59,46,25
2,866.006,384,201
2,1013.15,63,33
2,808.387,277,142
2,937.422,408,231
2,830.674,740,398
2,1152.46,889,476
2,753.195,136,71
3,947.143,178,83
2,795.069,421,203
2,1123.67,28,16
2,1024.48,101,53
3,725.818,934,494
3,586.493,694,372
2,716.275,44,21
2,667.006,262,142
2,717.162,321,175
3,682.071,536,292
2,745.337,676,371
2,886.315,43,20
3,763.663,65,30
2,849.065,511,272
3,912.244,188,85
2,1007.09,309,157
2,775.673,498,259
3,770.462,328,163
2,913.031,784,420
2,909.642,128,77
2,820.655,431,234
2,1042.04,440,241
2,1004,764,428
2,1222.63,875,498
2,572.55,58,28
4,698.268,188,92
3,825.156,245,119
2,665.015,778,411
2,770.016,760,435
2,722.978,88,47
5,1231.52,663,355
2,599.853,898,490
2,675.276,52,29
2,1072.24,122,70
2,714.875,866,470
2,834.927,58,39
2,715.261,304,164
2,946.542,844,472
2,582.381,588,321
2,569.861,902,493
3,589.452,801,430
2,741.299,96,57
4,734.369,276,148
2,979.35,805,448
2,751.755,657,357
2,679.489,687,375
3,820.262,609,343
2,723.883,62,28
2,649.523,685,353
2,570.02,852,436
2,686.994,883,455
3,777.945,857,496
2,867.561,480,262
2,1004.52,441,252
2,549.715,790,443
4,688.232,669,338
2,494.026,308,184
2,964.067,227,122
2,1032.7,757,414
2,837.941,290,173
3,722.917,620,357
2,1225.73,99,51
2,1022.01,245,127
2,971.839,291,149
2,1100.95,513,261
3,948.173,929,472
2,692.986,20,13
2,1077.7,233,119
2,585.195,396,196
2,915.999,939,498
2,783.232,0,0
2,714.436,162,88
2,646.157,749,389
2,833.236,821,422
3,661.785,249,141
2,1078.38,627,338
5,613.373,339,180
2,854.708,900,466
3,741.362,624,326
2,398.886,5,3
2,697.845,397,225
3,800.532,664,350
3,679.747,552,307
2,1030.6,697,384
3,603.129,720,397
2,704.25,874,453
3,882.133,822,441
2,855.49,196,106
2,656.295,831,435
2,639.672,342,196
2,655.526,483,267
3,687.468,568,324
3,711.805,889,499
2,850.821,61,24
2,1101.82,399,194
2,696.177,566,297
2,946.926,836,450
3,507.926,859,459
3,628.957,898,485
2,1022.51,86,54
2,735.258,748,406
