pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
91,1386.29,11.4301,1.45797,1.6342,2.4043,4.19213,-9.64846,0.644104,0.228069,-0.0151671,-0.0162613,1.99512,1.44256,0.131425,0.548876,1,0.846154,0.626374,0.0549451,0.186813,0.835165,16,7.31567,0.792142,0.795239,0.632404,0.506366,-0.792615,0.0544077,0.0029602,-5.24999e-05,-1.03527e-05,0,0,0,0,0,0,0,0,1,0,459.777,202,199
113,3948.28,12.2401,0.762771,1.65099,0.959762,1.22524,-0.904409,0.996146,0.178692,0.144565,0.127979,2.11166,1.36452,0.195131,0.959587,1,0.858407,0.725664,0.0353982,0.442478,0.893805,106,5.37779,0.61512,0.735405,0.54082,0.413202,-0.557794,0.182138,0.0331742,-3.92583e-05,0.000154234,5,3,0,0,1.66667,0,0,1,1,0,919.613,0,0
106,3184.13,11.2468,1.32613,1.59927,1.98853,3.18993,-6.45739,0.629235,0.215817,-0.0288638,-0.000838418,1.31261,0.879882,0.124567,0.763369,1,0.688679,0.471698,0.00943396,0.160377,0.481132,31,10.4529,0.251379,0.489621,0.239729,0.151242,-0.0735884,0.3122,0.0974685,0.0320385,-0.0128352,0,0,0,0,0,0,0,0,1,0,516.533,1,1
34,149.467,7.05651,0.46493,1.16605,0.884177,1.13208,-0.67762,0.777975,0.330896,0.334948,0.0946734,0.896629,0.435671,0.0965906,0.9423,1,1,0.205882,0.0882353,0.176471,0.205882,9,6.49966,0.352223,0.653155,0.426612,0.289682,-0.344709,0.310941,0.0966845,0.0350545,-0.0145877,0,0,0,0,0,0,0,0,1,0,27.6498,6,6
102,2173.39,12.3792,0.668221,1.54329,1.07443,1.44101,-1.25314,0.960398,0.267425,0.245206,0.102354,1.32777,0.480062,0.0924665,0.9308,1,0.764706,0.647059,0,0.411765,0.441176,90,8.41461,0.247575,0.5764,0.332237,0.228494,-0.168562,0.373647,0.139612,0.0608545,-0.0273572,0,0,0,0,0,0,0,0,1,0,519.938,15,14
98,2349.45,11.8222,0.549619,1.56031,0.828544,1.13089,-0.165293,1.07545,0.264922,0.312421,0.267326,1.69054,0.775164,0.265638,0.935792,1,0.877551,0.653061,0.0612245,0.438776,0.663265,222,5.25395,0.639661,0.726211,0.527382,0.411539,-0.510677,0.23862,0.0569395,-0.0182487,0.00333519,0,0,0,0,0,0,0,0,1,0,542.21,16,15
83,898.017,10.5222,0.279626,1.438,0.808803,1.07168,-0.211729,1.18855,0.448321,0.555324,0.266061,1.21546,0.447176,0.11174,0.940325,1,0.903614,0.433735,0.0120482,0.542169,0.337349,97,6.90121,0.162143,0.476035,0.226609,0.161508,-0.0341929,0.369978,0.136883,0.0752332,-0.0107622,0,0,0,0,0,0,0,0,1,0,195.638,22,21
107,2459.44,11.4621,0.63461,1.59471,0.968451,1.34894,-0.566491,1.04135,0.273485,0.294514,0.216793,1.7482,0.789045,0.147061,0.932114,1,0.850467,0.607477,0.0373832,0.439252,0.700935,121,5.95981,0.512505,0.680387,0.462927,0.356997,-0.363735,0.30177,0.0910654,-0.00158066,-0.0123423,0,0,0,0,0,0,0,0,1,0,439.447,30,29
74,1301.11,10.2074,1.06016,1.52301,1.45879,2.04343,-3.26435,0.721292,0.168004,0.0522182,0.0424653,1.86695,1.13514,0.253296,0.943021,1,0.837838,0.513514,0.108108,0.189189,0.797297,24,6.16849,0.722858,0.761546,0.579953,0.454927,-0.650143,0.152734,0.0233277,-0.0103473,0.00537461,6,3,1,0,2,0,0.2428,0,1,0,258.178,31,30
110,2816.64,11.4722,0.794491,1.65069,1.05101,1.37872,-1.21029,0.964391,0.192084,0.148026,0.109095,2.05093,1.07675,0.31657,0.941263,1,0.890909,0.609091,0.0636364,0.427273,0.836364,187,4.81299,0.637171,0.718059,0.515608,0.404475,-0.478131,0.263919,0.0696532,-0.025551,0.00304325,7,6,5,0,1.16667,0.3825,0,0,1,0,1167.73,34,33
