plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
electron,100,4109,958,0.8109334912176831,0.005500782441413995
electron,380,5009,730,0.8728001393971075,0.004398277317758975
electron,660,3648,275,0.9299005862860056,0.004076301507725908
electron,940,2451,116,0.954811063498247,0.0040997922225228444
electron,1220,1526,69,0.9567398119122257,0.005094021587486993
electron,1500,1096,27,0.9759572573463936,0.004571066345259972
electron,1780,801,23,0.9720873786407767,0.005738380717783801
electron,2060,600,8,0.9868421052631579,0.004621311570304411
