plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,10,8495,1365,0.8615618661257607,0.00347802456352285
overall,20,11976,1113,0.9149667659867065,0.0024380565474400083
overall,30,9317,535,0.9456963053187171,0.0022831178737553887
overall,40,5083,151,0.9711501719526175,0.0023136515441015927
overall,50,2656,24,0.991044776119403,0.0018197740393850895
overall,60,1631,3,0.9981640146878825,0.0010590330888422058
overall,70,1012,0,1.0,0.0
overall,80,705,0,1.0,0.0
overall,90,451,0,1.0,0.0
