plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,100,7301,1286,0.8502387329684407,0.0038507867089041786
overall,380,14287,1322,0.9153052725991415,0.002228556396869359
overall,660,8153,560,0.9357282221967176,0.0026272485656997323
overall,940,4607,250,0.9485278978793494,0.00317049414315551
overall,1220,2622,161,0.9421487603305785,0.004425470725062768
overall,1500,1752,87,0.9526916802610115,0.0049505572061831924
overall,1780,1216,64,0.95,0.006091746465505602
overall,2060,892,38,0.9591397849462365,0.006491570868716894
