pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
55,2571.35,8.22778,1.16214,1.34447,1.85868,3.00927,-5.19049,0.553916,0.285124,0.0569361,-0.0717773,1.02736,0.742682,0.0936684,0.698368,1,0.472727,0.236364,0.0363636,0.0545455,0.436364,42,9.94353,0.0904648,0.436044,0.190134,0.132486,-0.0116731,0.376656,0.14187,0.0878042,-0.00306306,0,0,0,0,0,0,0,0,1,0,426.073,79,79
32,1121.66,7.58533,0.235311,0.826377,0.657075,0.60569,-0.704209,0.611353,0.350558,0.256544,-0.166457,0.532647,0.274639,0.132149,1,1,0.46875,0.03125,0,0.125,0.03125,41,8.02548,0.127138,0.709656,0.503611,0.381847,-0.466979,0.589152,0.3471,0.220638,-0.218211,4,3,2,0,1.33333,0,0,0,1,0,387.443,90,90
52,4284.88,8.84163,0.620748,1.15033,0.871299,0.98196,-1.0441,0.641187,0.18015,0.122529,0.0311183,1.05581,0.589246,0.216204,0.978646,1,0.461538,0.326923,0.0192308,0.115385,0.461538,148,8.10801,0.298034,0.62445,0.389938,0.281214,-0.247787,0.376485,0.141741,0.0567623,-0.0313139,0,0,0,0,0,0,0,0,1,0,682.937,99,99
49,3291.96,8.35766,0.399034,1.12847,0.664421,0.756809,-0.342135,0.779037,0.257309,0.236876,0.0554001,0.749339,0.291733,0.10795,0.975288,1,0.469388,0.244898,0,0.265306,0.22449,148,7.33744,0.193602,0.488981,0.239103,0.169508,-0.046524,0.362713,0.131561,0.0654943,-0.0139011,0,0,0,0,0,0,0,0,1,0,610.956,100,100
20,2283.58,6.1059,1.13484,1.21967,1.37327,1.71086,-3.45973,0.435858,0.0662292,-0.00877549,0.00479703,1.04142,0.37086,0.225563,0.983159,1,0.55,0.05,0.25,0,0.5,40,6.23031,0.613558,0.716446,0.513295,0.39035,-0.491918,0.225624,0.0509062,-0.0134179,0.00225285,0,0,0,0,0,0,0,0,1,0,669.988,102,102
51,2060.83,9.30984,0.792618,1.2937,1.19969,1.65591,-1.76778,0.651455,0.24317,0.189435,0.0481958,0.674131,0.252766,0.207503,0.922559,1,0.529412,0.215686,0,0.196078,0.117647,58,10.0714,0.232184,0.655327,0.429454,0.30288,-0.333832,0.436506,0.190538,0.0932105,-0.0605058,0,0,0,0,0,0,0,0,1,0,359.643,108,108
53,2331.27,8.81495,1.11015,1.26993,1.63612,2.50696,-3.88641,0.539426,0.248414,0.0528777,-0.0142007,0.531781,0.208082,0.0658145,0.788948,1,0.415094,0.132075,0,0.0377358,0.0377358,48,10.2202,0.15358,0.487319,0.23748,0.154991,-0.063809,0.372809,0.138987,0.0700757,-0.0193789,0,0,0,0,0,0,0,0,1,0,422.318,110,110
62,7361.75,9.90592,0.240615,1.25018,0.534609,0.569787,-0.0990197,1.03547,0.283556,0.281459,0.122077,1.08005,0.505392,0.183586,0.984692,1,0.516129,0.467742,0,0.5,0.403226,215,7.38106,0.134485,0.551996,0.304699,0.206718,-0.13262,0.439785,0.193411,0.107452,-0.0488088,0,0,0,0,0,0,0,0,1,0,1064.24,112,112
54,4375.95,8.82117,0.86248,1.25034,1.22441,1.60995,-2.22014,0.588917,0.199771,0.0882453,-0.00944219,1.04844,0.66306,0.139166,0.945267,1,0.5,0.351852,0.0555556,0.166667,0.462963,142,9.17289,0.240773,0.606655,0.36803,0.252249,-0.227957,0.394435,0.155579,0.0701219,-0.0371532,6,5,2,0,1.2,0.270667,0,0,1,0,899.353,115,115
24,1193.58,6.62409,0.756625,0.965267,0.862833,0.975943,-1.07178,0.394499,0.158852,0.0329714,-0.0377649,0.712403,0.407377,0.122473,1,1,0.375,0,0.0416667,0,0.291667,36,7.06974,0.559046,0.725606,0.526503,0.417971,-0.496764,0.283713,0.0804928,-0.00367678,-0.00840987,0,0,0,0,0,0,0,0,1,0,350.307,124,123
25,1924.86,6.68867,1.14909,1.2133,1.41768,1.79457,-3.69706,0.433121,0.0731301,-0.0164113,0.00518615,1.73299,1.21063,0.258328,0.97319,1,0.56,0.12,0.2,0,0.8,18,7.52633,0.419516,0.701772,0.492484,0.37026,-0.443204,0.321153,0.10314,0.0323657,-0.0167884,0,0,0,0,0,0,0,0,1,0,979.621,131,129
35,3690.91,7.54613,1.51805,1.51086,2.498,4.27831,-11.1136,0.569598,0.15876,-0.0221766,-0.000499784,1.00169,0.649246,0.20567,0.50845,1,0.257143,0.171429,0.0285714,0.171429,0.371429,24,9.14329,0.668958,0.744478,0.554248,0.42598,-0.592344,0.172423,0.0297297,-0.0103238,0.00518833,0,0,0,0,0,0,0,0,1,0,546.138,137,135
37,3215.8,8.58799,0.460735,1.06545,0.580092,0.60008,-0.248153,0.68603,0.160573,0.137106,0.0937724,0.707365,0.194018,0.0803534,0.990284,1,0.351351,0.162162,0,0.135135,0.0540541,185,7.81531,0.155814,0.525621,0.276278,0.184907,-0.100244,0.403164,0.162541,0.0842369,-0.0316259,4,3,1,0,1.33333,0.306,0,0,1,0,589.926,141,139
40,1861.05,7.8737,0.937548,1.27534,1.22982,1.7278,-1.80765,0.582167,0.218071,0.103653,0.0422225,1.13404,0.821684,0.0903888,0.939876,1,0.425,0.175,0.025,0.1,0.4,45,7.71323,0.381882,0.660122,0.435761,0.321972,-0.327623,0.340981,0.116268,0.0336036,-0.0234988,0,0,0,0,0,0,0,0,1,0,271.844,142,140
31,3487.71,8.41776,0.59517,1.12862,0.52054,0.508748,-0.174305,0.651298,0.0890928,0.0699082,0.0788017,0.866082,0.171981,0.258181,0.988684,1,0.516129,0.258065,0,0.0967742,0.193548,392,5.85185,0.462952,0.515079,0.265306,0.150445,-0.124621,0.186049,0.0346143,-0.00821689,0.000699417,0,0,0,0,0,0,0,0,1,0,937.292,148,146
24,2486.88,6.8853,0.301256,0.87614,0.307304,0.232552,-0.0626682,0.622588,0.0944748,0.064665,0.0341007,0.843296,0.33503,0.265254,0.995556,1,0.333333,0.166667,0.0833333,0.208333,0.25,100,5.98503,0.306948,0.602774,0.363336,0.253202,-0.21438,0.349401,0.122081,0.0441653,-0.0228736,5,4,2,0,1.25,0,0.0338333,0,1,0,483.618,149,147
29,1858.59,6.90054,0.638331,0.929171,0.682549,0.68164,-0.66481,0.416271,0.115976,0.0471035,-0.0070392,0.596326,0.296066,0.105962,1,1,0.275862,0.0689655,0,0,0.0344828,61,7.68702,0.275845,0.574122,0.329616,0.239344,-0.147114,0.371804,0.138238,0.0562555,-0.0270205,0,0,0,0,0,0,0,0,1,0,372.407,165,163
34,1711.44,7.67824,0.882519,1.07259,1.07018,1.30451,-1.76126,0.42971,0.159858,0.0198735,-0.0306234,0.438086,0.181996,0.0889162,0.983875,1,0.264706,0,0,0,0,69,8.34938,0.401773,0.612104,0.374671,0.284551,-0.201076,0.344196,0.118471,0.0197815,-0.0252364,0,0,0,0,0,0,0,0,1,0,318.11,170,168
17,230.451,7.49438,0.737098,1.01368,1.07667,1.2477,-1.97141,0.398783,0.162594,0.0777434,-0.0303826,0.660162,0.390015,0.114575,1,1,1,0,0,0,0.0588235,3,8.79054,0.345701,0.54107,0.292757,0.199657,-0.118347,0.320625,0.102801,0.0151965,-0.0187785,0,0,0,0,0,0,0,0,1,0,84.2509,171,169
41,1692.17,8.19176,0.188036,1.0825,0.637146,0.750326,-0.0815397,0.919243,0.406485,0.459291,0.193887,0.795886,0.290967,0.0916503,0.96708,1,0.487805,0.121951,0,0.317073,0.097561,138,7.48452,0.174065,0.618245,0.382227,0.288583,-0.215053,0.475005,0.22563,0.13251,-0.0713385,0,0,0,0,0,0,0,0,1,0,402.44,180,177
35,2387.67,9.00851,0.356596,1.14143,0.439612,0.5382,0.26042,0.83741,0.190991,0.223566,0.219091,0.67926,0.17257,0.604469,0.982905,1,0.771429,0.371429,0.0571429,0.314286,0.0857143,89,8.23112,0.238652,0.48822,0.238358,0.167162,-0.0483702,0.338092,0.114307,0.0477122,-0.0126191,5,5,2,0,1,0,0,0,1,0,404.342,183,180
40,1386.95,8.05347,1.2263,1.3345,1.79796,2.86931,-4.86435,0.500641,0.274306,-0.0204587,-0.0878798,0.445777,0.206927,0.0690127,0.667991,1,0.5,0.075,0,0.025,0,39,8.79207,0.378905,0.624537,0.390046,0.260287,-0.278082,0.277119,0.0767948,0.0221536,-0.00842879,0,0,0,0,0,0,0,0,1,0,316.626,190,187
30,2421.93,8.08345,0.19822,0.972632,0.352373,0.305312,-0.0366866,0.800544,0.182935,0.150044,0.0615534,0.819416,0.191929,0.181351,0.982827,1,0.466667,0.266667,0,0.266667,0.233333,176,7.04936,0.181767,0.505934,0.255969,0.178281,-0.0676939,0.377452,0.14247,0.0726494,-0.0194983,0,0,0,0,0,0,0,0,1,0,476.198,5,5
61,2147.42,9.31689,1.33595,1.58324,2.342,4.41461,-7.52869,0.644496,0.422224,0.0674844,-0.157893,0.686828,0.324149,0.0636512,0.57818,1,0.508197,0.327869,0,0.163934,0.131148,45,9.82592,0.312343,0.605213,0.366283,0.263339,-0.207354,0.357147,0.127554,0.0472053,-0.0243777,0,0,0,0,0,0,0,0,1,0,440.475,7,7
51,5190.31,8.47233,0.953495,1.31587,1.24807,1.65284,-2.30841,0.594131,0.174755,0.0512925,-0.000967199,1.42037,0.980687,0.0955817,0.923522,1,0.372549,0.254902,0.0784314,0.0980392,0.627451,94,7.97863,0.429772,0.652156,0.425308,0.323832,-0.291849,0.335252,0.112394,0.0168888,-0.0221538,2,2,1,0,1,0,0,0,1,0,1046.89,14,14
39,4716.63,7.81037,1.49539,1.58956,2.32925,3.76694,-9.96321,0.513961,0.0933693,0.00478086,0.00638302,1.62478,1.95589,0.281741,0.736213,1,0.384615,0.128205,0,0.0769231,0.538462,10,12.295,0.387114,0.551933,0.30463,0.200158,-0.139912,0.261811,0.0685449,0.0124725,-0.00485534,0,0,0,0,0,0,0,0,1,0,933.295,15,15
18,1355.28,5.54341,1.17814,1.18124,1.57837,2.1719,-4.36896,0.434003,0.120902,-0.0134391,-0.00198077,1.22304,1.15347,0.339119,0.910312,1,0.388889,0.0555556,0.333333,0,0.611111,6,6.85047,0.657841,0.727348,0.529035,0.394478,-0.542452,0.120666,0.0145603,0.000421269,-0.000374607,6,5,3,0,1.2,0.35525,0,0,1,0,329.681,35,34
31,4004.37,7.09889,1.25194,1.43493,1.65167,2.26623,-4.92696,0.529328,0.0729796,0.00861372,0.0195183,1.30586,0.610785,0.218427,0.932596,1,0.483871,0.0967742,0.0322581,0.0322581,0.516129,32,9.74737,0.475383,0.557057,0.310313,0.188436,-0.172217,0.192938,0.037225,-0.00566853,0.000454052,0,0,0,0,0,0,0,0,1,0,670.826,45,44
71,4626.89,9.7814,0.522706,1.28019,0.984151,1.25083,-1.11513,0.826838,0.318934,0.30054,0.0453054,0.71072,0.226189,0.0653478,0.96183,1,0.422535,0.366197,0,0.253521,0.0985915,180,9.26319,0.0697075,0.60033,0.360397,0.251566,-0.208215,0.537973,0.289415,0.18379,-0.130192,7,3,2,0,2.33333,0.427648,0,0,1,0,941.17,51,50
36,2033.49,8.33468,0.818702,1.30495,1.06471,1.46369,-1.00777,0.692338,0.216694,0.164442,0.154638,0.801265,0.228764,0.0989778,0.954165,1,0.472222,0.138889,0,0.138889,0.0833333,140,7.14595,0.411855,0.637174,0.40599,0.302464,-0.26369,0.326297,0.10647,0.0208051,-0.0186861,3,3,1,0,1,0,0,0,1,0,1020.46,56,55
38,3013.31,7.9723,0.834157,1.168,0.942372,1.11755,-1.20765,0.539098,0.146885,0.0448448,0.00609855,0.80252,0.22294,0.0781451,0.983156,1,0.315789,0.0789474,0,0.0789474,0.131579,139,7.67149,0.351272,0.544573,0.29656,0.196737,-0.127833,0.291122,0.0847521,0.017493,-0.00990915,5,4,2,0,1.25,0,0,0,1,0,914.932,58,57
36,2364.2,7.959,0.375612,0.919736,0.548797,0.512981,-0.371329,0.586445,0.18135,0.1281,0.00378634,0.455736,0.146643,0.0938576,1,1,0.277778,0.0833333,0,0.194444,0,162,7.84951,0.323365,0.582714,0.339555,0.24024,-0.17133,0.343186,0.117777,0.0353183,-0.0220727,0,0,0,0,0,0,0,0,1,0,499.199,65,64
